modelo,q_norm,vazao,geracao_bruta,geracao_pos_processada,corte_mwmed,derivada_mw_por_m3s,derivada_alvo_mw_por_m3s
pinn_fisica_1d,0,2181.1650390625,5185.09139524231,5185.09139524231,0,1.2585236436700695,1.041822
pinn_fisica_1d,0.010101010101010102,2365.531703756313,5410.134707226154,5410.134707226154,0,1.1858080097816357,1.041822
pinn_fisica_1d,0.020202020202020204,2549.8983684501263,5623.351936616178,5623.351936616178,0,1.1297579523166905,1.041822
pinn_fisica_1d,0.030303030303030304,2734.2650331439395,5827.565105708995,5827.565105708995,0,1.0877018321284666,1.041822
pinn_fisica_1d,0.04040404040404041,2918.6316978377527,6025.129192435881,6025.129192435881,0,1.05724609485574,1.041822
pinn_fisica_1d,0.050505050505050504,3102.9983625315654,6217.983508787063,6217.983508787063,0,1.0362735139071504,1.041822
pinn_fisica_1d,0.06060606060606061,3287.365027225379,6407.701424639847,6407.701424639847,0,1.0229283637376678,1.041822
pinn_fisica_1d,0.0707070707070707,3471.7316919191917,6595.536682712316,6595.536682712316,0,1.0155951808431178,1.041822
pinn_fisica_1d,0.08080808080808081,3656.0983566130053,6782.4655536968885,6782.4655536968885,0,1.0128754531134392,1.041822
pinn_fisica_1d,0.09090909090909091,3840.465021306818,6969.224715582051,6969.224715582051,0,1.0135648804788098,1.041822
pinn_fisica_1d,0.10101010101010101,4024.831686000631,7156.34511124814,7156.34511124814,0,1.016632653262852,1.041822
pinn_fisica_1d,0.1111111111111111,4209.198350694444,7344.182224957654,7344.182224957654,0,1.021203381171277,1.041822
pinn_fisica_1d,0.12121212121212122,4393.565015388258,7532.943282300016,7532.943282300016,0,1.0265417740002163,1.041822
pinn_fisica_1d,0.13131313131313133,4577.931680082071,7722.711863719089,7722.711863719089,0,1.0320398450634538,1.041822
pinn_fisica_1d,0.1414141414141414,4762.298344775883,7913.470360354306,7913.470360354306,0,1.03720622033619,1.041822
pinn_fisica_1d,0.15151515151515152,4946.665009469697,8105.120614563513,8105.120614563513,0,1.0416570473750921,1.041822
pinn_fisica_1d,0.16161616161616163,5131.031674163511,8297.502991455909,8297.502991455909,0,1.0451079777224581,1.041822
pinn_fisica_1d,0.1717171717171717,5315.398338857323,8490.414032596254,8490.414032596254,0,1.0473667232589834,1.041822
pinn_fisica_1d,0.18181818181818182,5499.765003551136,8683.622755932653,8683.622755932653,0,1.0483257454047967,1.041822
pinn_fisica_1d,0.1919191919191919,5684.131668244949,8876.885591689153,8876.885591689153,0,1.0479547147752766,1.041822
pinn_fisica_1d,0.20202020202020202,5868.498332938762,9069.959885342465,9069.959885342465,0,1.0462924690637538,1.041822
pinn_fisica_1d,0.21212121212121213,6052.864997632576,9262.6158573113,9262.6158573113,0,1.0434382915225173,1.041822
pinn_fisica_1d,0.2222222222222222,6237.231662326389,9454.646884904287,9454.646884904287,0,1.039542425802087,1.041822
pinn_fisica_1d,0.23232323232323232,6421.598327020202,9645.877964745398,9645.877964745398,0,1.0347958306320064,1.041822
pinn_fisica_1d,0.24242424242424243,6605.964991714015,9836.172221962377,9836.172221962377,0,1.0294192566354472,1.041822
pinn_fisica_1d,0.25252525252525254,6790.331656407829,10025.435354028668,10025.435354028668,0,1.0236517953726425,1.041822
pinn_fisica_1d,0.26262626262626265,6974.698321101642,10213.617930160774,10213.617930160774,0,1.0177391065675607,1.041822
pinn_fisica_1d,0.2727272727272727,7159.064985795454,10400.715509375135,10400.715509375135,0,1.0119215733879352,1.041822
pinn_fisica_1d,0.2828282828282828,7343.431650489268,10586.766589561266,10586.766589561266,0,1.0064226683856285,1.041822
pinn_fisica_1d,0.29292929292929293,7527.79831518308,10771.84845426799,10771.84845426799,0,1.0014378353592996,1.041822
pinn_fisica_1d,0.30303030303030304,7712.164979876894,10956.071041574483,10956.071041574483,0,0.9971242060824009,1.041822
pinn_fisica_1d,0.31313131313131315,7896.531644570708,11139.569018847465,11139.569018847465,0,0.9935914762613056,1.041822
pinn_fisica_1d,0.32323232323232326,8080.89830926452,11322.49230685527,11322.49230685527,0,0.9908942621932091,1.041822
pinn_fisica_1d,0.3333333333333333,8265.264973958332,11504.995355019975,11504.995355019975,0,0.9890262475041354,1.041822
pinn_fisica_1d,0.3434343434343434,8449.631638652147,11687.225524684312,11687.225524684312,0,0.9879164061839332,1.041822
pinn_fisica_1d,0.35353535353535354,8633.99830334596,11869.31098688667,11869.31098688667,0,0.9874275513924639,1.041822
pinn_fisica_1d,0.36363636363636365,8818.364968039772,12051.34858251179,12051.34858251179,0,0.9873574063700465,1.041822
pinn_fisica_1d,0.37373737373737376,9002.731632733587,12233.392122557507,12233.392122557507,0,0.987442321826731,1.041822
pinn_fisica_1d,0.3838383838383838,9187.098297427397,12415.44162101724,12415.44162101724,0,0.9873636721039346,1.041822
pinn_fisica_1d,0.3939393939393939,9371.464962121212,12597.433948837419,12597.433948837419,0,0.9867568508659963,1.041822
