epoca,loss_total,loss_dados,loss_fisica,loss_contorno
0,0.48224720349242756,0.48224720349242756,0,0
1,0.24417636212695584,0.24417636212695584,0,0
2,0.09901813194059442,0.09901813194059442,0,0
3,0.03357507443493341,0.03357507443493341,0,0
4,0.036329725624572554,0.036329725624572554,0,0
5,0.07507732163448405,0.07507732163448405,0,0
6,0.10177342793278309,0.10177342793278309,0,0
7,0.0989879361308042,0.0989879361308042,0,0
8,0.0769001045106643,0.0769001045106643,0,0
9,0.05106534089008649,0.05106534089008649,0,0
10,0.032616822326995566,0.032616822326995566,0,0
11,0.026103789639843025,0.026103789639843025,0,0
12,0.03023516183863929,0.03023516183863929,0,0
13,0.039761579656627445,0.039761579656627445,0,0
14,0.04840192914781091,0.04840192914781091,0,0
15,0.05207981824637571,0.05207981824637571,0,0
16,0.0501018031368635,0.0501018031368635,0,0
17,0.04416234700955956,0.04416234700955956,0,0
18,0.03684032699936813,0.03684032699936813,0,0
19,0.03048053035759307,0.03048053035759307,0,0
20,0.02658472174926442,0.02658472174926442,0,0
21,0.025597770055717246,0.025597770055717246,0,0
22,0.026984570598582898,0.026984570598582898,0,0
23,0.029553060830436607,0.029553060830436607,0,0
24,0.031954162856502086,0.031954162856502086,0,0
25,0.03318680541498484,0.03318680541498484,0,0
26,0.03289282828104931,0.03289282828104931,0,0
27,0.031341945858683364,0.031341945858683364,0,0
28,0.029186851678077573,0.029186851678077573,0,0
29,0.027151257550829404,0.027151257550829404,0,0
30,0.025777443656596975,0.025777443656596975,0,0
31,0.025291220613375926,0.025291220613375926,0,0
32,0.02559506122719557,0.02559506122719557,0,0
33,0.02636560693791331,0.02636560693791331,0,0
34,0.02720101685872575,0.02720101685872575,0,0
35,0.02775789908893542,0.02775789908893542,0,0
36,0.02784283827441996,0.02784283827441996,0,0
37,0.027448190958158578,0.027448190958158578,0,0
38,0.02672901316969061,0.02672901316969061,0,0
39,0.025928781836993164,0.025928781836993164,0,0
40,0.025283420759521787,0.025283420759521787,0,0
41,0.024942521638214008,0.024942521638214008,0,0
42,0.024932200330513642,0.024932200330513642,0,0
43,0.02516287071328652,0.02516287071328652,0,0
44,0.025474033151594754,0.025474033151594754,0,0
45,0.025701303998733552,0.025701303998733552,0,0
46,0.025739929927478443,0.025739929927478443,0,0
47,0.02557639385964537,0.02557639385964537,0,0
48,0.025277734852349278,0.025277734852349278,0,0
49,0.02495182718885808,0.02495182718885808,0,0
50,0.02470018108701967,0.02470018108701967,0,0
51,0.024580469106206117,0.024580469106206117,0,0
52,0.024590808554985723,0.024590808554985723,0,0
53,0.024680421493082895,0.024680421493082895,0,0
54,0.02477848611004429,0.02477848611004429,0,0
55,0.024824819793980248,0.024824819793980248,0,0
56,0.02479023033786634,0.02479023033786634,0,0
57,0.024682587516948244,0.024682587516948244,0,0
58,0.02453863360816919,0.02453863360816919,0,0
59,0.0244050766327517,0.0244050766327517,0,0
60,0.024317825015428254,0.024317825015428254,0,0
61,0.024288922593548375,0.024288922593548375,0,0
62,0.024305074617087634,0.024305074617087634,0,0
63,0.02433632577415588,0.02433632577415588,0,0
64,0.0243509788060722,0.0243509788060722,0,0
65,0.024330184615761908,0.024330184615761908,0,0
66,0.02427473279164595,0.02427473279164595,0,0
67,0.024201375658808207,0.024201375658808207,0,0
68,0.02413252678018965,0.02413252678018965,0,0
69,0.02408526189248368,0.02408526189248368,0,0
70,0.02406427880090404,0.02406427880090404,0,0
71,0.02406161033085459,0.02406161033085459,0,0
72,0.024062579092737228,0.024062579092737228,0,0
73,0.024053853805457145,0.024053853805457145,0,0
74,0.024029211110863632,0.024029211110863632,0,0
75,0.02399113687156858,0.02399113687156858,0,0
76,0.023948348891232447,0.023948348891232447,0,0
77,0.023910645378237446,0.023910645378237446,0,0
78,0.02388392699181006,0.02388392699181006,0,0
79,0.02386801372950021,0.02386801372950021,0,0
80,0.0238577331623727,0.0238577331623727,0,0
81,0.023846133667067122,0.023846133667067122,0,0
82,0.02382818670050949,0.02382818670050949,0,0
83,0.02380309422683679,0.02380309422683679,0,0
84,0.023774003592153054,0.023774003592153054,0,0
85,0.02374570766286222,0.02374570766286222,0,0
86,0.023721944211615557,0.023721944211615557,0,0
