lambda_fisica,rmse_validacao_mwmed,loss_fisica_treino,joelho_saturacao_m3s,elegivel
0,1648.47,0.715395,nao_satura,false
0.05,1567.09,0.085573,11215,true
0.1,1558.95,0.048427,10846,true
0.2,1540.97,0.028971,10662,true
0.5,1538.83,0.013227,10662,true
1,1536.58,0.016981,10662,true
