epoca,loss_total,loss_dados,loss_fisica,loss_contorno
0,0.15968406150524844,0.15968406150524844,0,0
1,0.061518206095060445,0.061518206095060445,0,0
2,0.03087949969677196,0.03087949969677196,0,0
3,0.02117393054820089,0.02117393054820089,0,0
4,0.01849176413831978,0.01849176413831978,0,0
5,0.02234610881111636,0.02234610881111636,0,0
6,0.030058383541330374,0.030058383541330374,0,0
7,0.034868717064204996,0.034868717064204996,0,0
8,0.032708622695117186,0.032708622695117186,0,0
9,0.02557622726660018,0.02557622726660018,0,0
10,0.01765369864717993,0.01765369864717993,0,0
11,0.011856799653577476,0.011856799653577476,0,0
12,0.008876309055927744,0.008876309055927744,0,0
13,0.007962134803452627,0.007962134803452627,0,0
14,0.008130482996683395,0.008130482996683395,0,0
15,0.008776745043959,0.008776745043959,0,0
16,0.009664975353751045,0.009664975353751045,0,0
17,0.01066676925456127,0.01066676925456127,0,0
18,0.011544251204104626,0.011544251204104626,0,0
19,0.011954403535015876,0.011954403535015876,0,0
20,0.011651152624406106,0.011651152624406106,0,0
21,0.01066309926397875,0.01066309926397875,0,0
22,0.009281552686695881,0.009281552686695881,0,0
23,0.007899225854452496,0.007899225854452496,0,0
24,0.006828157415845292,0.006828157415845292,0,0
25,0.006195083277699158,0.006195083277699158,0,0
26,0.005950145888398088,0.005950145888398088,0,0
27,0.0059562656643597205,0.0059562656643597205,0,0
28,0.006084678770898895,0.006084678770898895,0,0
29,0.006260358950447886,0.006260358950447886,0,0
30,0.006452182797916997,0.006452182797916997,0,0
31,0.006637361583040579,0.006637361583040579,0,0
32,0.006775274024628753,0.006775274024628753,0,0
33,0.0068114610465610185,0.0068114610465610185,0,0
34,0.006707149756950805,0.006707149756950805,0,0
35,0.006469093411016471,0.006469093411016471,0,0
36,0.006154866315009073,0.006154866315009073,0,0
37,0.005847957018500111,0.005847957018500111,0,0
38,0.005618580634972341,0.005618580634972341,0,0
39,0.005495312445776131,0.005495312445776131,0,0
40,0.005463648411395156,0.005463648411395156,0,0
41,0.0054873315568789195,0.0054873315568789195,0,0
42,0.00553354734263893,0.00553354734263893,0,0
43,0.005584994316508684,0.005584994316508684,0,0
44,0.005635541563230317,0.005635541563230317,0,0
45,0.005678864320605782,0.005678864320605782,0,0
46,0.00570237638518499,0.00570237638518499,0,0
47,0.005691801829225799,0.005691801829225799,0,0
48,0.005641694029869905,0.005641694029869905,0,0
49,0.005562252426237264,0.005562252426237264,0,0
50,0.0054760549979375826,0.0054760549979375826,0,0
51,0.005406510966093127,0.005406510966093127,0,0
52,0.005366322284892855,0.005366322284892855,0,0
53,0.00535384778691961,0.00535384778691961,0,0
54,0.005358568810070757,0.005358568810070757,0,0
55,0.00536996436031561,0.00536996436031561,0,0
56,0.005382731210141075,0.005382731210141075,0,0
57,0.005395661083233917,0.005395661083233917,0,0
58,0.005407186555006723,0.005407186555006723,0,0
59,0.005412870738198924,0.005412870738198924,0,0
60,0.005407496652196472,0.005407496652196472,0,0
61,0.005389625305043333,0.005389625305043333,0,0
62,0.005363989868041782,0.005363989868041782,0,0
63,0.005339114003095151,0.005339114003095151,0,0
64,0.005322029146804249,0.005322029146804249,0,0
65,0.005314535417703684,0.005314535417703684,0,0
66,0.005313758422499494,0.005313758422499494,0,0
67,0.005315740178011008,0.005315740178011008,0,0
68,0.005318442379389976,0.005318442379389976,0,0
69,0.005321792766285626,0.005321792766285626,0,0
70,0.005325616130214325,0.005325616130214325,0,0
71,0.005328189697746305,0.005328189697746305,0,0
72,0.005327103225699539,0.005327103225699539,0,0
73,0.0053214571413983825,0.0053214571413983825,0,0
74,0.005313000100665756,0.005313000100665756,0,0
75,0.005304959434374675,0.005304959434374675,0,0
76,0.005299695516420552,0.005299695516420552,0,0
77,0.005297385098611697,0.005297385098611697,0,0
78,0.0052967193128233975,0.0052967193128233975,0,0
79,0.005296553030688735,0.005296553030688735,0,0
80,0.005296731163253247,0.005296731163253247,0,0
81,0.005297495958823366,0.005297495958823366,0,0
82,0.005298485675138282,0.005298485675138282,0,0
83,0.00529863038624065,0.00529863038624065,0,0
84,0.005297074626142734,0.005297074626142734,0,0
85,0.005294047614938648,0.005294047614938648,0,0
86,0.005290700079667916,0.005290700079667916,0,0
87,0.005288110107266132,0.005288110107266132,0,0
88,0.005286521733254611,0.005286521733254611,0,0
89,0.0052855041326224225,0.0052855041326224225,0,0
90,0.005284659303578168,0.005284659303578168,0,0
91,0.00528400744007553,0.00528400744007553,0,0
92,0.005283709862931594,0.005283709862931594,0,0
93,0.005283611276055097,0.005283611276055097,0,0
94,0.005283227477680478,0.005283227477680478,0,0
95,0.005282194583458673,0.005282194583458673,0,0
96,0.005280630511782714,0.005280630511782714,0,0
97,0.005278996189490507,0.005278996189490507,0,0
98,0.005277649004572859,0.005277649004572859,0,0
99,0.005276598433026342,0.005276598433026342,0,0
100,0.005275670518190072,0.005275670518190072,0,0
101,0.005274797206927399,0.005274797206927399,0,0
102,0.0052740645447767786,0.0052740645447767786,0,0
103,0.005273514767823937,0.005273514767823937,0,0
104,0.0052730057592997,0.0052730057592997,0,0
105,0.0052723218450007135,0.0052723218450007135,0,0
106,0.005271390929018943,0.005271390929018943,0,0
107,0.005270339927865958,0.005270339927865958,0,0
108,0.005269340073830063,0.005269340073830063,0,0
109,0.005268445879765723,0.005268445879765723,0,0
110,0.0052676047283202855,0.0052676047283202855,0,0
111,0.005266780282417975,0.005266780282417975,0,0
112,0.005266008886325992,0.005266008886325992,0,0
113,0.005265329133606753,0.005265329133606753,0,0
114,0.005264701178177802,0.005264701178177802,0,0
115,0.005264032278896953,0.005264032278896953,0,0
116,0.005263272877171338,0.005263272877171338,0,0
117,0.005262458729868888,0.005262458729868888,0,0
118,0.005261655492763617,0.005261655492763617,0,0
119,0.005260887403938041,0.005260887403938041,0,0
120,0.005260135944457448,0.005260135944457448,0,0
121,0.0052593905078709485,0.0052593905078709485,0,0
122,0.005258671097896985,0.005258671097896985,0,0
123,0.00525799606932226,0.00525799606932226,0,0
124,0.0052573481132708435,0.0052573481132708435,0,0
125,0.005256688475673126,0.005256688475673126,0,0
126,0.005255998617461495,0.005255998617461495,0,0
127,0.005255293973538927,0.005255293973538927,0,0
128,0.005254597533467549,0.005254597533467549,0,0
129,0.005253913743919978,0.005253913743919978,0,0
130,0.005253234523024447,0.005253234523024447,0,0
131,0.00525256045755951,0.00525256045755951,0,0
132,0.005251903295392037,0.005251903295392037,0,0
133,0.005251268295073322,0.005251268295073322,0,0
134,0.00525064445936505,0.00525064445936505,0,0
135,0.005250016705278175,0.005250016705278175,0,0
136,0.00524938203136365,0.00524938203136365,0,0
137,0.0052487485590342695,0.0052487485590342695,0,0
138,0.0052481222848111,0.0052481222848111,0,0
139,0.005247501474998194,0.005247501474998194,0,0
140,0.0052468839528984216,0.0052468839528984216,0,0
141,0.005246273440447504,0.005246273440447504,0,0
142,0.005245675068015427,0.005245675068015427,0,0
143,0.005245087775013581,0.005245087775013581,0,0
144,0.005244505236768894,0.005244505236768894,0,0
145,0.0052439234601913505,0.0052439234601913505,0,0
146,0.005243344083854715,0.005243344083854715,0,0
147,0.005242770066110625,0.005242770066110625,0,0
148,0.00524220141622175,0.00524220141622175,0,0
