vazao,geracao_referencia,eficiencia
2181.1650390625,3101.589547991008,1.4219875582290287
2365.531703756313,3523.3175157665837,1.4894399893993306
2549.8983684501263,3938.5937296152197,1.5446081217774836
2734.2650331439395,4345.662533490597,1.5893347867941772
2918.6316978377527,4743.104409122514,1.6251123472127054
3102.9983625315654,5129.799390731574,1.6531750234461784
3287.365027225379,5504.887748738171,1.6745593212641914
3471.7316919191917,5867.73082262417,1.6901452483444819
3656.0983566130053,6217.874257832706,1.7006857177641466
3840.465021306818,6555.0151913963355,1.7068285103572747
4024.831686000631,6878.974235066211,1.7091333928305623
4209.198350694444,7189.67249639456,1.7080859340373897
4393.565015388258,7487.1134013892915,1.7041089354922536
4577.931680082071,7771.368753659273,1.6975720252600957
4762.298344775883,8042.568279368035,1.6887997553094343
4946.665009469697,8300.891844978996,1.6780784284135073
5131.031674163511,8546.563567785914,1.6656618221284363
5315.398338857323,8779.847137231784,1.651775949329741
5499.765003551136,9001.041799458126,1.6366229818267244
5684.131668244949,9210.478604297328,1.6203844565657617
5868.498332938762,9408.516654736484,1.6032238778919428
6052.864997632576,9595.539221521078,1.5852888219502879
6237.231662326389,9771.94968335739,1.5667126399009859
6421.598327020202,9938.167324003498,1.5476158454487265
6605.964991714015,10094.623062669743,1.528107259928204
6790.331656407829,10241.755217021593,1.5082849756472148
6974.698321101642,10380.005403260006,1.488237186095312
7159.064985795454,10509.814670112512,1.4680429205441485
7343.431650489268,10631.619947670086,1.4477727108635563
7527.79831518308,10745.850871760571,1.4274892102365293
7712.164979876894,10852.927023040807,1.4072477769029843
7896.531644570708,10953.255599442447,1.3870970310077086
8080.89830926452,11047.22952246678,1.3670793889092063
8265.264973958332,11135.225962878856,1.3472315767205303
8449.631638652147,11217.605259880544,1.3275851231864984
8633.99830334596,11294.71019975948,1.3081668310477206
8818.364968039772,11366.865614995464,1.2889992256151988
9002.731632733587,11434.378262405095,1.270100979221699
9187.098297427397,11497.536938615998,1.2514873103987119
9371.464962121212,11556.61279248551,1.2331703569502217
9555.831626815025,11611.859796557523,1.2151595224818519
9740.198291508837,11663.515342888559,1.1974617963431402
9924.564956202652,11711.800932242128,1.1800820473165918
10108.931620896465,11756.922929489981,1.1630232917182768
10293.298285590277,11799.073361874343,1.146286936850166
10477.66495028409,11838.430740437205,1.1298730009606024
10662.031614977905,11875.160888317285,1.1137803110277023
10846.398279671717,11909.417762697654,1.098006679785883
11030.76494436553,11941.344259928868,1.0825490634743749
11215.131609059345,11971.072995749688,1.067403701805845
11399.498273753157,11998.727054588984,1.0525662416402592
11583.86493844697,12024.420703679112,1.0380318458107995
11768.231603140785,12048.260069167918,1.023795288491127
11952.598267834595,12070.343772614746,1.009851038422082
12136.964932528408,12090.763527224291,0.9961933312355306
12321.331597222223,12109.604693941732,0.9828162320273709
12505.698261916035,12126.946798131463,0.969713689243727
12690.06492660985,12142.864008015993,0.9568795808564833
12874.43159130366,12157.425576384918,0.9443077537183807
13058.798255997473,12170.696247317255,0.93199205690521
13243.164920691288,12182.736629812294,0.9199263697741793
13427.5315853851,12193.603540310207,0.9081046253938486
13611.898250078915,12203.350316117572,0.8965208299325058
13796.264914772728,12212.027101746156,0.8851690785286237
13980.63157946654,12219.681110135181,0.874043568109063
14164.998244160353,12226.35686066606,0.8631386075678819
14349.364908854166,12232.096395800414,0.8524486256707217
14533.73157354798,12236.939478082651,0.8419681770065446
14718.098238241793,12240.923769151384,0.8316919462696609
14902.464902935608,12244.084992303184,0.8216147511202153
15086.831567629419,12246.457080050124,0.8117315438402817
15271.198232323231,12248.07230801107,0.8020374119750884
15455.564897017046,12248.961416377588,0.7925275781244114
15639.931561710859,12249.153720099657,0.7831973990274749
15824.298226404673,12248.677208844578,0.7740423640655509
16008.664891098484,12247.558637695787,0.7650580932895887
16193.031555792297,12245.8236094762,0.7562403350653529
16377.398220486111,12243.496649504037,0.747584963415552
16561.764885179924,12240.601273517545,0.739087975127028
16746.13154987374,12237.16004943848,0.7307454866811163
16930.49821456755,12233.19465358302,0.7225537310566078
17114.864879261364,12228.725921871752,0.7145090544471487
17299.231543955175,12223.77389653871,0.7066079129283654
17483.59820864899,12218.357868791409,0.6988468691042722
17667.964873342804,12212.496417830258,0.6912225887575945
17852.33153803662,12206.20744659584,0.6837318375243588
18036.69820273043,12199.508214576244,0.6763714776094363
18221.06486742424,12192.415367973523,0.6691384645565484
18405.431532118055,12184.944967498392,0.6620298440835403
18589.79819681187,12177.11251403505,0.6550427489914018
18774.16486150568,12168.932972393248,0.648174396153529
18958.531526199495,12160.42079334259,0.6414220835900531
19142.89819089331,12151.589934103711,0.6347831876306215
19327.264855587124,12142.45387745287,0.6282551601678253
19511.631520280935,12133.025649580028,0.6218355260024576
19695.998184974746,12123.317836825772,0.6155218802809469
19880.36484966856,12113.342601408916,0.6093118860246102
20064.731514362375,12103.111696244934,0.6032032717498115
20249.09817905619,12092.636478944318,0.5971938291776289
20433.46484375,12081.927925070444,0.5912814110312746
