lambda_fisica,loss_dados,loss_fisica_residuo,joelho_saturacao_m3s,loss_contorno
0,0.023793971932610184,0.5591763711374217,nao_satura,0.00000000016691579955775898
0.2,0.0301961517357667,0.01724283991823443,10662,0.0006925783720565062
1,0.032535148550480175,0.0066464398769085,10662,0.0014664524840707232
