vazao,geracao_referencia,eficiencia
2181.1650390625,1931.2141372159685,0.8854048651201725
2365.531703756313,2263.627703425455,0.9569213127987077
2549.8983684501263,2611.0228492586625,1.0239713400207746
2734.2650331439395,2970.1767914724724,1.0862797700547977
2918.6316978377527,3337.725209065179,1.1435924620218128
3102.9983625315654,3710.256598980019,1.1957004695139528
3287.365027225379,4084.4065194569257,1.2424560356487915
3471.7316919191917,4456.946442238895,1.2837819387405112
3656.0983566130053,4824.862505033563,1.3196752478790796
3840.465021306818,5185.4204487630395,1.3502063994840305
4024.831686000631,5536.214300122782,1.3755144890602797
4209.198350694444,5875.1977485606285,1.3957996889339566
4393.565015388258,6200.698498812633,1.4113137001717224
4577.931680082071,6511.417015089337,1.4223491021981796
4762.298344775883,6806.411917331936,1.4292283734802949
4946.665009469697,7085.074803602813,1.4322932298911346
5131.031674163511,7347.097464823824,1.431894778942597
5315.398338857323,7592.434375247954,1.4283848342549876
5499.765003551136,7821.26305274944,1.4221085896759842
5684.131668244949,8033.944462759877,1.4133987267822148
5868.498332938762,8230.985159044858,1.4025709290647503
6052.864997632576,8413.002371448601,1.3899207027976228
6237.231662326389,8580.692807051564,1.3757213571014133
6421.598327020202,8734.805552506223,1.360222970619748
6605.964991714015,8876.119163219859,1.343652165028628
6790.331656407829,9005.422800369834,1.3262125115599752
6974.698321101642,9123.50112304396,1.308085411442271
7159.064985795454,9231.122549563896,1.289431310915557
7343.431650489268,9329.03045711261,1.270391133345818
7527.79831518308,9417.936880107267,1.2510878328278137
7712.164979876894,9498.518284499838,1.2316279941214976
7896.531644570708,9571.413028256846,1.2121034219925795
8080.89830926452,9637.22016048061,1.192592678642152
8265.264973958332,9696.499257613936,1.1731625408459432
8449.631638652147,9749.771041132739,1.1538693588171598
8633.99830334596,9797.51856459216,1.1347603069131131
8818.364968039772,9840.188797379213,1.1158745224361677
9002.731632733587,9878.194467316207,1.0972441332583402
9187.098297427397,9911.916054155492,1.0788951781359584
9371.464962121212,9941.703851158203,1.0608484256561654
9555.831626815025,9967.880032717156,1.0431200990132417
9740.198291508837,9990.740682839887,1.0257225144532698
9924.564956202652,10010.557752765777,1.0086646414167888
10108.931620896465,10027.580926563016,0.9919525922833144
10293.298285590277,10042.039381715698,0.9755900492822286
10477.66495028409,10054.143437901748,0.9595786356605287
10662.031614977905,10064.086091757119,0.9439182376479921
10846.398279671717,10072.044438745561,0.9286072831773615
11030.76494436553,10078.180985578376,0.9136429827313354
11215.131609059345,10082.644858180312,0.8990215371200607
11399.498273753157,10085.5729111599,0.8847383164556888
11583.86493844697,10087.09074526202,0.8707880140921583
11768.231603140785,10087.313639475648,0.8571647788426834
11952.598267834595,10086.347404431443,0.8438623283754643
12136.964932528408,10084.289163524545,0.8308740463192354
12321.331597222223,10081.228067891709,0.818193065282365
12505.698261916035,10077.245950999997,0.805812337699569
12690.06492660985,10072.417928197501,0.793724696165786
12874.43159130366,10066.81294615709,0.7819229046940571
13058.798255997473,10060.494286727653,0.7703997021400649
13243.164920691288,10053.52002930481,0.7591478388672078
13427.5315853851,10045.943475451506,0.7481601075796978
13611.898250078915,10037.81353914243,0.737429369124489
13796.264914772728,10029.175105677257,0.7269485739533925
13980.63157946654,10020.069362006725,0.7167107798422553
14164.998244160353,10010.534100942277,0.7067091663826509
14349.364908854166,10000.604001473377,0.6969370466913544
14533.73157354798,9990.310887195035,0.6873878767224402
14718.098238241793,9979.683964649848,0.6780552625148132
14902.464902935608,9968.750043211907,0.6689329656631623
15086.831567629419,9957.53373798255,0.6600149072617485
15271.198232323231,9946.05765702795,0.651295170537174
15455.564897017046,9934.342574164226,0.6427680023576215
15639.931561710859,9922.407588385602,0.6344278137813146
15824.298226404673,9910.270270933119,0.6262691797855962
16008.664891098484,9897.946800914531,0.618286838299565
16193.031555792297,9885.452090308729,0.6104756886472362
16377.398220486111,9872.799899119087,0.602830789494355
16561.764885179924,9860.002941378914,0.5953473563799959
16746.13154987374,9847.072982657017,0.5880207589036442
16930.49821456755,9834.020929662365,0.5808465176294018
17114.864879261364,9820.856912502397,0.5738203007610447
17299.231543955175,9807.590360109654,0.5669379206347865
17483.59820864899,9794.230069315225,0.560195330070563
17667.964873342804,9780.78426801462,0.5535886186174017
17852.33153803662,9767.260672841694,0.5471140087238089
18036.69820273043,9753.666541739054,0.5407678518600775
18221.06486742424,9740.008721787737,0.5345466246158312
18405.431532118055,9726.293692636373,0.5284469247930257
18589.79819681187,9712.52760584794,0.5224654675118328
18774.16486150568,9698.716320462849,0.5165990813444372
18958.531526199495,9684.865435058182,0.5108447044896018
19142.89819089331,9670.980316565827,0.5051993809989818
19327.264855587124,9657.066126095924,0.49966025706447853
19511.631520280935,9643.127841997026,0.4942245773744594
19695.998184974746,9629.170280369926,0.48888968154534146
19880.36484966856,9615.198113238719,0.48365300063389033
20064.731514362375,9601.215884570147,0.47851205373456296
20249.09817905619,9587.228024320044,0.47346444466530335
20433.46484375,9573.238860674577,0.46850785874441414
