epoca,loss_total,loss_dados,loss_fisica,loss_contorno
0,0.9981250215084596,0.9981250215084596,0,0
1,0.606283723882622,0.606283723882622,0,0
2,0.33791956860736555,0.33791956860736555,0,0
3,0.16933495052091266,0.16933495052091266,0,0
4,0.08113447834667822,0.08113447834667822,0,0
5,0.052903812187053374,0.052903812187053374,0,0
6,0.06204347067503419,0.06204347067503419,0,0
7,0.08590211520609878,0.08590211520609878,0,0
8,0.10611892619189965,0.10611892619189965,0,0
9,0.11282616642920935,0.11282616642920935,0,0
10,0.1049618215878455,0.1049618215878455,0,0
11,0.08738215753397832,0.08738215753397832,0,0
12,0.06698053351337635,0.06698053351337635,0,0
13,0.0497859038187008,0.0497859038187008,0,0
14,0.039448158279359984,0.039448158279359984,0,0
15,0.03681997243387019,0.03681997243387019,0,0
16,0.040340399855731124,0.040340399855731124,0,0
17,0.04690615722251331,0.04690615722251331,0,0
18,0.053029017317977836,0.053029017317977836,0,0
19,0.05608972267089301,0.05608972267089301,0,0
20,0.05514601947221485,0.05514601947221485,0,0
21,0.050885440806366304,0.050885440806366304,0,0
22,0.04494772362310952,0.04494772362310952,0,0
23,0.03911811795329793,0.03911811795329793,0,0
24,0.03473242483606908,0.03473242483606908,0,0
25,0.03240207983759529,0.03240207983759529,0,0
26,0.03202587328576067,0.03202587328576067,0,0
27,0.03299759616402213,0.03299759616402213,0,0
28,0.03450293663018533,0.03450293663018533,0,0
29,0.03580070037426316,0.03580070037426316,0,0
30,0.03640800252346974,0.03640800252346974,0,0
31,0.036158480687702645,0.036158480687702645,0,0
32,0.03515545562876435,0.03515545562876435,0,0
33,0.03367144769683465,0.03367144769683465,0,0
34,0.032042591753979714,0.032042591753979714,0,0
35,0.03058386727799345,0.03058386727799345,0,0
36,0.029529695158718748,0.029529695158718748,0,0
37,0.0289967383613083,0.0289967383613083,0,0
38,0.028968804339249116,0.028968804339249116,0,0
39,0.029307837743237385,0.029307837743237385,0,0
40,0.029793713261850808,0.029793713261850808,0,0
41,0.030187798500753846,0.030187798500753846,0,0
42,0.03030411375975388,0.03030411375975388,0,0
43,0.030064251637094176,0.030064251637094176,0,0
44,0.029515198802914082,0.029515198802914082,0,0
45,0.02880349808549899,0.02880349808549899,0,0
46,0.02811708864690205,0.02811708864690205,0,0
47,0.027617982824730474,0.027617982824730474,0,0
48,0.02739019074812098,0.02739019074812098,0,0
49,0.02741956607613811,0.02741956607613811,0,0
50,0.027609727692819705,0.027609727692819705,0,0
51,0.027825245795131164,0.027825245795131164,0,0
52,0.027943991481587455,0.027943991481587455,0,0
53,0.02789842422651633,0.02789842422651633,0,0
54,0.027691652743904602,0.027691652743904602,0,0
55,0.027385477872239012,0.027385477872239012,0,0
56,0.02706883040228144,0.02706883040228144,0,0
57,0.02682126556542134,0.02682126556542134,0,0
58,0.026685761581892287,0.026685761581892287,0,0
59,0.02665935344342586,0.02665935344342586,0,0
60,0.026702140139304793,0.026702140139304793,0,0
61,0.026758227250694242,0.026758227250694242,0,0
62,0.026778722749816786,0.026778722749816786,0,0
63,0.02673788009267978,0.02673788009267978,0,0
64,0.02663778929399386,0.02663778929399386,0,0
65,0.02650223590013339,0.02650223590013339,0,0
66,0.026364140692482125,0.026364140692482125,0,0
67,0.026252246663801274,0.026252246663801274,0,0
68,0.026181706211962887,0.026181706211962887,0,0
69,0.0261509693885692,0.0261509693885692,0,0
70,0.02614493494407392,0.02614493494407392,0,0
71,0.02614239125959755,0.02614239125959755,0,0
72,0.026124677307838184,0.026124677307838184,0,0
73,0.026082375133429248,0.026082375133429248,0,0
74,0.026017730984206722,0.026017730984206722,0,0
75,0.02594220213657116,0.02594220213657116,0,0
76,0.025870499105867938,0.025870499105867938,0,0
77,0.025813923127168844,0.025813923127168844,0,0
78,0.025775973431622228,0.025775973431622228,0,0
79,0.02575196907166607,0.02575196907166607,0,0
80,0.025732400419476987,0.025732400419476987,0,0
