data,periodo,vazao,geracao_real_mwmed,pinn_fisica_1d_mwmed,mlp_1d_mwmed,mlp_hidrologico_mwmed,pinn_hidrologica_mwmed,rf_hidrologica_mwmed,mlp_multivariado_mwmed,rf_multivariada_mwmed,pinn_multivariada_mwmed,media_treino_mwmed,media_mensal_treino_mwmed,linear_plato_mwmed,interpolacao_quadratica_mwmed,persistencia_dia_anterior_mwmed,persistencia_residual_mlp_mwmed,residuo_pinn_multivariada_mwmed
2015-01-02,treino,3546,8706.387875,6670.899711211845,7034.370367415261,6279.791970156545,6720.9407296513145,8867.091693716087,6949.598526658334,8720.626603487823,7368.797121911075,9597.586470539107,10333.682682017543,7916.10752244894,6860.60397931887,8682.234625,8677.470090000334,-1337.5907530889253
2015-01-03,treino,3270.699951171875,7748.238791666667,6390.6466751518365,6837.205063954996,6993.470392095707,6687.027228286006,9335.049770880416,7366.464664348803,9368.457189426703,7277.369352546348,9597.586470539107,10333.682682017543,7754.742290521082,6782.397456410737,8706.387875,8705.21583936827,-470.86943912031893
2015-01-04,treino,3094.300048828125,7809.108583333334,6208.966299091548,6715.785401144009,7841.395684399183,6857.188704755363,9217.620016718483,7988.176736469144,9317.23505248853,7319.628426772713,9597.586470539107,10333.682682017543,7651.346699874015,6732.408533496655,7748.238791666667,7754.307763387507,-489.48015656062034
2015-01-05,treino,3722.39990234375,8836.25575,6849.615235998597,7166.3274252996725,8355.973369047999,7948.137082042405,9272.967877702129,8552.107542874443,9309.59376676622,8197.870735046921,9597.586470539107,10333.682682017543,8019.503113096007,6910.83750868813,7809.108583333334,7884.708092739505,-638.385014953079
2015-01-06,treino,4574.7998046875,9819.790958333331,7719.47978562344,7887.713092600863,8055.1003653686,8782.798158592665,8650.286670157668,8685.177147003154,8610.45866241203,8935.597548840997,9597.586470539107,10333.682682017543,8519.131458686512,7154.9221111747265,8836.25575,8926.597407539934,-884.1934094923345
2015-01-07,treino,4766.7001953125,10430.767,7918.036247638511,8074.681922041855,7874.278362546943,8692.872533331622,8334.992159900828,8680.919186194718,8371.30030316353,8857.348637215797,9597.586470539107,10333.682682017543,8631.612554029805,7210.180366527517,9819.790958333331,9846.411534867832,-1573.418362784203
2015-01-08,treino,4980,10746.199625,8139.856138872309,8295.237576987394,7933.94449366719,8843.254344446934,8759.864730073123,8771.92167121833,8705.64990647905,9018.122169318376,9597.586470539107,10333.682682017543,8756.63676888221,7271.733306085669,10430.767,10458.339347522213,-1728.0774556816232
2015-01-09,treino,4893,10297.301166666666,8049.251910289155,8203.617633323776,7899.898022881564,8692.81575723928,8807.871783791012,8732.220304578184,8698.816041609905,8869.369600294172,9597.586470539107,10333.682682017543,8705.642316692743,7246.61043614823,10746.199625,10745.838044991186,-1427.9315663724938
2015-01-10,treino,4539.2001953125,9874.512291666668,7682.76148883564,7854.166366888643,7979.60210429338,8454.078977691875,8108.353071226795,8695.810996678007,8205.82496595371,8571.59719321542,9597.586470539107,10333.682682017543,8498.264992269995,7144.68353516317,10297.301166666666,10272.116017336532,-1302.915098451247
2015-01-11,treino,4090.60009765625,9660.7595,7223.255633992669,7458.81536431649,8599.68311666086,8300.600655669157,7522.117922972415,8906.86145494004,7602.421483512562,8293.122430863994,9597.586470539107,10333.682682017543,8235.321127532965,7015.997935645137,9874.512291666668,9840.307727567038,-1367.6370691360062
2015-01-12,treino,4355.89990234375,11096.919958333334,7494.299633632171,7686.737720852045,9166.528695689156,8975.774175301784,8186.280428096892,9271.69407946289,7918.94919513157,8806.757379420422,9597.586470539107,10333.682682017543,8390.824785073328,7092.0272983177665,9660.7595,9690.918478989108,-2290.162578912912
