vazao,geracao_otima,eficiencia
2181.1650390625,5185.09139524231,2.377211858058639
2365.531703756313,5410.134707226154,2.2870692025117254
2549.8983684501263,5623.351936616178,2.205323947885088
2734.2650331439395,5827.565105708995,2.1313095237912205
2918.6316978377527,6025.129192435881,2.064367764147684
3102.9983625315654,6217.983508787063,2.0038629681113185
3287.365027225379,6407.701424639847,1.9491907261811179
3471.7316919191917,6595.536682712316,1.8997829521400222
3656.0983566130053,6782.4655536968885,1.8551102547416523
3840.465021306818,6969.224715582051,1.81468251290324
4024.831686000631,7156.34511124814,1.7780482935819883
4209.198350694444,7344.182224957654,1.7447935718557888
4393.565015388258,7532.943282300016,1.714540073019571
4577.931680082071,7722.711863719089,1.6869434503182974
4762.298344775883,7913.470360354306,1.661691432884539
4946.665009469697,8105.120614563513,1.6385020208660575
5131.031674163511,8297.502991455909,1.6171217638816495
5315.398338857323,8490.414032596254,1.59732413101169
5499.765003551136,8683.622755932653,1.5789079624903493
5684.131668244949,8876.885591689153,1.5616959827445394
5868.498332938762,9069.959885342465,1.5455333495511976
6052.864997632576,9262.6158573113,1.530286213377324
6237.231662326389,9454.646884904287,1.5158402632391328
6421.598327020202,9645.877964745398,1.5020992397108321
6605.964991714015,9836.172221962377,1.4889834012593273
6790.331656407829,10025.435354028668,1.4764279362655242
6974.698321101642,10213.617930160774,1.4643813194414335
7159.064985795454,10400.715509375135,1.452803617513118
7343.431650489268,10586.766589561266,1.4416647547684203
7527.79831518308,10771.84845426799,1.4309427542103343
7712.164979876894,10956.071041574483,1.420621974524898
7896.531644570708,11139.569018847465,1.4106913668238792
8080.89830926452,11322.49230685527,1.4011427781332622
8265.264973958332,11504.995355019975,1.3919693308404726
8449.631638652147,11687.225524684312,1.383163908734442
8633.99830334596,11869.31098688667,1.3747177807860955
8818.364968039772,12051.34858251179,1.3666193932990136
9002.731632733587,12233.392122557507,1.3588533593601038
9187.098297427397,12415.44162101724,1.3513996714821104
9371.464962121212,12597.433948837419,1.344233158823657
9555.831626815025,12779.235371238023,1.3373232043329089
9740.198291508837,12960.636379934176,1.3306337296267166
9924.564956202652,13141.349155472048,1.3241234465656826
10108.931620896465,13321.007893975699,1.3177463646543477
10293.298285590277,13499.172110420299,1.3114525330833913
10477.66495028409,13675.332892896658,1.305188986075172
10662.031614977905,13848.921937263802,1.2989008509231006
10846.398279671717,13946.316250000002,1.285801598871594
11030.76494436553,13946.316250000002,1.2643108905265652
11215.131609059345,13946.316250000002,1.243526757968178
11399.498273753157,13946.316250000002,1.2234149183662566
11583.86493844697,13946.316250000002,1.203943271447514
11768.231603140785,13946.316250000002,1.1850817285307262
11952.598267834595,13946.316250000002,1.1668020573845155
12136.964932528408,13946.316250000002,1.1490777412252657
12321.331597222223,13946.316250000002,1.1318838503741042
12505.698261916035,13946.316250000002,1.1151969252665501
12690.06492660985,13946.316250000002,1.0989948696602736
12874.43159130366,13946.316250000002,1.0832568530186895
13058.798255997473,13946.316250000002,1.0679632211635492
13243.164920691288,13946.316250000002,1.0530954143907172
13427.5315853851,13946.316250000002,1.0386358923318089
13611.898250078915,13946.316250000002,1.0245680649221094
13796.264914772728,13946.316250000002,1.0108762289035638
13980.63157946654,13946.316250000002,0.9975455093518852
14164.998244160353,13946.316250000002,0.9845618057700427
14349.364908854166,13946.316250000002,0.971911742337428
14533.73157354798,13946.316250000002,0.959582621945688
14718.098238241793,13946.316250000002,0.9475623836891859
14902.464902935608,13946.316250000002,0.9358395635109158
15086.831567629419,13946.316250000002,0.924403257733948
15271.198232323231,13946.316250000002,0.9132430892345457
15455.564897017046,13946.316250000002,0.9023491760363718
15639.931561710859,13946.316250000002,0.8917121021260024
15824.298226404673,13946.316250000002,0.8813228903085862
16008.664891098484,13946.316250000002,0.87117297693918
16193.031555792297,13946.316250000002,0.8612541883802703
16377.398220486111,13946.316250000002,0.8515587190494566
16561.764885179924,13946.316250000002,0.8420791109333812
16746.13154987374,13946.316250000002,0.8328082344549093
16930.49821456755,13946.316250000002,0.8237392705904035
17114.864879261364,13946.316250000002,0.814865694142827
17299.231543955175,13946.316250000002,0.806181258084451
17483.59820864899,13946.316250000002,0.7976799788902078
17667.964873342804,13946.316250000002,0.7893561227893329
17852.33153803662,13946.316250000002,0.7812041928689054
18036.69820273043,13946.316250000002,0.7732189169683386
18221.06486742424,13946.316250000002,0.7653952363087919
18405.431532118055,13946.316250000002,0.7577282948059785
18589.79819681187,13946.316250000002,0.7502134290189217
18774.16486150568,13946.316250000002,0.7428461586909445
18958.531526199495,13946.316250000002,0.7356221778425757
19142.89819089331,13946.316250000002,0.7285373463791688
19327.264855587124,13946.316250000002,0.7215876821788574
19511.631520280935,13946.316250000002,0.7147693536290808
19695.998184974746,13946.316250000002,0.7080786725822844
19880.36484966856,13946.316250000002,0.7015120877035871
20064.731514362375,13946.316250000002,0.6950661781852003
20249.09817905619,13946.316250000002,0.6887376478042263
20433.46484375,13946.316250000002,0.6825233193021483
