data,geracao_real_mwmed,persistencia_mwmed,mlp_absoluto_hidro_longo_mwmed,mlp_anomalia_mensal_hidro_longo_mwmed,ridge_residual_hidro_longo_mwmed,rf_residual_hidro_longo_mwmed,mlp_residual_hidro_longo_mwmed
2023-03-12,8225.5315,9446.0521,11676.5631,12049.6120,9440.7905,9448.4902,9441.7027
2023-03-13,9579.0965,8225.5315,12348.3852,13033.5403,7986.5620,8032.5697,7924.1699
2023-03-14,10558.4850,9579.0965,12164.4213,12656.1579,9151.8282,9334.2117,9079.6853
2023-03-15,10533.1693,10558.4850,12111.4700,12549.9434,9873.5700,10261.0528,9836.0749
2023-03-16,10654.5120,10533.1693,11978.7875,12343.4262,9826.1033,10295.5009,9804.6880
2023-03-17,10806.6192,10654.5120,12028.9322,12310.6735,10033.1439,10415.4169,10015.9097
2023-03-18,10489.2726,10806.6192,11858.2741,12230.8666,10583.8930,10595.0000,10510.8817
2023-03-19,9262.7574,10489.2726,11686.3600,12082.7220,10382.6529,10414.1695,10361.8535
2023-03-20,9660.2735,9262.7574,11740.2464,12076.1707,9299.3500,9098.0973,9276.4559
2023-03-21,11132.8030,9660.2735,11760.4067,12004.8786,9735.3801,9494.8698,9702.7124
2023-03-22,11095.5130,11132.8030,11864.7123,11989.1826,11126.1041,10976.6053,11092.3231
2023-03-23,11077.7207,11095.5130,11759.7025,11856.5221,11004.8264,11133.5387,10997.2895
2023-03-24,10837.3159,11077.7207,11659.2628,11764.3740,11056.5879,11186.6838,11036.6168
2023-03-25,10686.3866,10837.3159,11652.3951,11724.5262,10963.6305,10965.3560,10921.9624
2023-03-26,9115.0820,10686.3866,11691.6440,11818.2963,11016.7261,10895.3537,10946.3173
2023-03-27,10500.0306,9115.0820,11958.8126,12099.2644,9575.1443,9269.0837,9483.1328
2023-03-28,10731.7757,10500.0306,12643.2300,12558.1516,10861.9793,10592.6428,10747.4988
2023-03-29,10481.6496,10731.7757,13198.2270,12914.6061,10811.2327,10755.4144,10679.8345
2023-03-30,10092.4507,10481.6496,13201.6760,12983.1312,10267.7425,10500.8305,10123.7983
2023-03-31,10171.4415,10092.4507,13049.6756,13000.2068,9621.5395,10095.7634,9497.8688
2023-04-01,9976.6985,10171.4415,11905.3822,11589.3181,9960.7369,10464.3851,9955.2381
2023-04-02,8791.4840,9976.6985,11696.7123,11712.3090,10067.1292,10578.1920,10039.4625
2023-04-03,10032.4947,8791.4840,11891.0846,12005.9417,9060.1556,9091.3496,8974.4665
2023-04-04,10184.0090,10032.4947,11817.2959,11984.5443,10293.6187,10261.6250,10187.9478
2023-04-05,9802.6443,10184.0090,11725.0586,11894.8627,10288.4243,10291.8443,10204.2882
2023-04-06,9659.4262,9802.6443,11618.7668,11632.3751,9685.7715,9957.9619,9637.7111
2023-04-07,9248.6335,9659.4262,11122.1554,10929.9835,9623.8041,9860.7854,9572.7110
2023-04-08,9800.2447,9248.6335,10536.8297,10148.3359,9332.4501,9460.3338,9289.2955
2023-04-09,9085.3032,9800.2447,10152.5462,9659.8929,9937.9574,9937.1285,9908.6638
2023-04-10,9900.4591,9085.3032,10026.7556,9449.1063,9251.4033,9231.8930,9213.4211
2023-04-11,9698.5415,9900.4591,10290.9361,9478.2520,9989.1829,10057.4546,9947.4064
2023-04-12,10154.8141,9698.5415,10371.4223,9417.4777,9718.2735,9900.1960,9662.8507
2023-04-13,10249.0793,10154.8141,10404.1128,9322.3094,10119.2934,10350.0015,10033.6063
2023-04-14,10193.5733,10249.0793,10299.4945,8998.9105,10186.6400,10371.9381,10114.4747
2023-04-15,9602.2778,10193.5733,11320.6655,10095.6221,9812.2641,10006.4768,9742.7749
2023-04-16,8806.2309,9602.2778,11759.9088,10643.7971,9031.5885,9274.3228,8978.2691
2023-04-17,9601.2739,8806.2309,11400.8931,10614.2736,8267.2193,8449.1154,8257.6630
2023-04-18,9947.5568,9601.2739,11459.5666,10889.4574,9292.4581,9293.4913,9281.1578
2023-04-19,9896.2551,9947.5568,11761.4391,11192.8097,9988.0949,9721.0056,9954.2273
2023-04-20,10115.9148,9896.2551,12451.1660,12115.5486,9970.8975,9681.3351,9933.9116
2023-04-21,8742.7625,10115.9148,13728.5686,13385.1156,9583.0938,9907.8652,9606.1438
2023-04-22,7902.1854,8742.7625,12996.9886,12692.8947,7775.5054,8595.9945,7881.3503
2023-04-23,7274.2742,7902.1854,11997.6465,11839.6216,7049.6219,8030.3384,7193.3098
2023-04-24,8921.9648,7274.2742,11083.7422,11243.0836,7268.2527,7469.8242,7309.5767
2023-04-25,9544.4918,8921.9648,11282.7795,11532.5400,9768.8434,9310.8608,9659.4493
2023-04-26,9486.6875,9544.4918,12276.4634,12326.7062,10763.6553,9917.1475,10670.5654
2023-04-27,9541.1883,9486.6875,13132.0727,12755.5936,10135.9226,9371.6288,10128.7834
2023-04-28,9551.8699,9541.1883,13403.2221,12629.4818,9418.0797,9407.4450,9425.2823
2023-04-29,9543.6145,9551.8699,13100.4287,12251.1966,8945.8033,9453.0383,8990.3821
2023-04-30,8574.1945,9543.6145,12436.3271,11852.0127,9064.0736,9443.9278,9165.9478
2023-05-01,8578.0202,8574.1945,11403.8069,11260.0055,8337.3625,8354.2416,8448.4688
2023-05-02,9743.1188,8578.0202,11333.0648,11099.7476,8475.9607,8268.5149,8581.6220
2023-05-03,10136.1440,9743.1188,11472.6019,11209.6684,9659.9761,9542.5446,9743.7964
