vazao,geracao_referencia,eficiencia
2181.1650390625,2478.1447407555406,1.1361564560106314
2365.531703756313,2677.8645666334432,1.132034951119516
2549.8983684501263,2878.3608646576895,1.128813955988061
2734.2650331439395,3079.604567641958,1.1263006805528786
2918.6316978377527,3281.572564273283,1.1243530887108548
3102.9983625315654,3484.247646573318,1.1228648034898454
3287.365027225379,3687.6183419126914,1.1217550565186662
3471.7316919191917,3891.678620883469,1.1209618041456795
3656.0983566130053,4096.427473431175,1.1204368903319353
3840.465021306818,4301.868347107654,1.1201425669133764
4024.831686000631,4508.0084431742,1.1200489349291742
4209.198350694444,4714.857868601488,1.1201320241474528
4393.565015388258,4922.428644811245,1.1203723235164762
4577.931680082071,5130.733577301795,1.1207536363255237
4762.298344775883,5339.784994095118,1.1212621737469939
4946.665009469697,5549.593365210232,1.121885827034237
5131.031674163511,5760.165820048571,1.1226135767301857
5315.398338857323,5971.5045845769255,1.1234350097382633
5499.765003551136,6183.605365375573,1.1243399238663632
5684.131668244949,6396.4557128026045,1.1253180056572467
5868.498332938762,6610.033400485295,1.1263585717294045
6052.864997632576,6824.304862819747,1.1274503669731442
6237.231662326389,7039.223735843651,1.1285814151110323
6421.598327020202,7254.729549426311,1.1297389185649525
6605.964991714015,7470.746619876533,1.1309092054298244
6790.331656407829,7687.183191505033,1.1320777217488152
6974.698321101642,7903.930873142697,1.1332290673031267
7159.064985795454,8120.864410933238,1.1343470728434681
7343.431650489268,8337.841831813615,1.1354149161663531
7527.79831518308,8554.704983017547,1.1364152737412296
7712.164979876894,8771.280481878119,1.1373305037904067
7896.531644570708,8987.381077503269,1.1381428558806042
8080.89830926452,9202.807412035152,1.1388347012713171
8265.264973958332,9417.350154786545,1.139388777547741
8449.631638652147,9630.79246827208,1.1397884405063068
8633.99830334596,9842.912751764428,1.1400179159115627
8818.364968039772,10053.487596246478,1.140062543644217
9002.731632733587,10262.294875179396,1.13990900693586
9187.098297427397,10469.116888928504,1.1395455398425531
9371.464962121212,10673.743477386779,1.138962106834874
9555.831626815025,10875.975015516939,1.1381505493459516
9740.198291508837,11075.625210191527,1.1371046952757489
9924.564956202652,11272.523623629106,1.135820428741716
10108.931620896465,11466.517858494135,1.1342957187277205
10293.298285590277,11657.475351782756,1.132530606647454
10477.66495028409,11845.284738283117,1.1305271541405746
10662.031614977905,12029.856758948015,1.1282893536020475
10846.398279671717,12211.124704223264,1.1258230049609474
11030.76494436553,12389.0443965594,1.1231355630406823
11215.131609059345,12563.593729415177,1.1202359604292627
11399.498273753157,12734.771791575171,1.1171344111605703
11583.86493844697,12902.597615227787,1.1138422006634356
11768.231603140785,13067.108593800416,1.110371467393026
11952.598267834595,13228.358620973984,1.1067349813448146
12136.964932528408,13386.41600566394,1.1029459242966801
12321.331597222223,13541.361219212637,1.0990176761629775
12505.698261916035,13693.28453080888,1.094963611309049
12690.06492660985,13842.283585491881,1.090796908096659
12874.43159130366,13946.316250000002,1.0832568530186895
13058.798255997473,13946.316250000002,1.0679632211635492
13243.164920691288,13946.316250000002,1.0530954143907172
13427.5315853851,13946.316250000002,1.0386358923318089
13611.898250078915,13946.316250000002,1.0245680649221094
13796.264914772728,13946.316250000002,1.0108762289035638
13980.63157946654,13946.316250000002,0.9975455093518852
14164.998244160353,13946.316250000002,0.9845618057700427
14349.364908854166,13946.316250000002,0.971911742337428
14533.73157354798,13946.316250000002,0.959582621945688
14718.098238241793,13946.316250000002,0.9475623836891859
14902.464902935608,13946.316250000002,0.9358395635109158
15086.831567629419,13946.316250000002,0.924403257733948
15271.198232323231,13946.316250000002,0.9132430892345457
15455.564897017046,13946.316250000002,0.9023491760363718
15639.931561710859,13946.316250000002,0.8917121021260024
15824.298226404673,13946.316250000002,0.8813228903085862
16008.664891098484,13946.316250000002,0.87117297693918
16193.031555792297,13946.316250000002,0.8612541883802703
16377.398220486111,13946.316250000002,0.8515587190494566
16561.764885179924,13946.316250000002,0.8420791109333812
16746.13154987374,13946.316250000002,0.8328082344549093
16930.49821456755,13946.316250000002,0.8237392705904035
17114.864879261364,13946.316250000002,0.814865694142827
17299.231543955175,13946.316250000002,0.806181258084451
17483.59820864899,13946.316250000002,0.7976799788902078
17667.964873342804,13946.316250000002,0.7893561227893329
17852.33153803662,13946.316250000002,0.7812041928689054
18036.69820273043,13946.316250000002,0.7732189169683386
18221.06486742424,13946.316250000002,0.7653952363087919
18405.431532118055,13946.316250000002,0.7577282948059785
18589.79819681187,13946.316250000002,0.7502134290189217
18774.16486150568,13946.316250000002,0.7428461586909445
18958.531526199495,13946.316250000002,0.7356221778425757
19142.89819089331,13946.316250000002,0.7285373463791688
19327.264855587124,13946.316250000002,0.7215876821788574
19511.631520280935,13946.316250000002,0.7147693536290808
19695.998184974746,13946.316250000002,0.7080786725822844
19880.36484966856,13946.316250000002,0.7015120877035871
20064.731514362375,13946.316250000002,0.6950661781852003
20249.09817905619,13946.316250000002,0.6887376478042263
20433.46484375,13946.316250000002,0.6825233193021483
