nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2015-01-01;735.00000000;79.33000183;688.00000000;74.26000214
ARAGUARI;2015-01-01;31.00000000;36.18000031;30.00000000;35.00999832
CAPIVARI;2015-01-01;203.00000000;122.27999878;203.00000000;122.27999878
DOCE;2015-01-01;306.00000000;18.30999947;303.00000000;18.12999916
GRANDE;2015-01-01;3047.00000000;33.49000168;3047.00000000;33.49000168
IGUACU;2015-01-01;10352.00000000;269.00000000;10352.00000000;269.00000000
ITABAPOANA;2015-01-01;17.00000000;16.37999916;3.00000000;2.89000010
ITAJAI;2015-01-01;369.00000000;179.91999817;192.00000000;93.61000061
JACUI;2015-01-01;1305.00000000;229.72999573;1170.00000000;205.97000122
JEQUITINHONHA;2015-01-01;148.00000000;13.71000004;133.00000000;12.31999969
MUCURI;2015-01-01;26.00000000;32.95999908;26.00000000;32.95999908
PARAGUACU;2015-01-01;32.00000000;21.78000069;32.00000000;21.78000069
PARAGUAI;2015-01-01;539.00000000;84.05999756;444.00000000;69.25000000
PARAIBA DO SUL;2015-01-01;490.00000000;31.31999969;485.00000000;31.00000000
PARANA;2015-01-01;19001.00000000;83.91000366;19001.00000000;83.91000366
PARANAIBA;2015-01-01;3757.00000000;41.88000107;3744.00000000;41.72999954
PARANAPANEMA;2015-01-01;2422.00000000;98.58999634;2422.00000000;98.58999634
PARNAIBA;2015-01-01;95.00000000;39.70000076;95.00000000;39.70000076
SAO FRANCISCO;2015-01-01;6813.00000000;49.74000168;6813.00000000;49.74000168
TIETE;2015-01-01;1032.00000000;55.90000153;1027.00000000;55.63000107
TOCANTINS;2015-01-01;7499.00000000;53.13999939;7499.00000000;53.13999939
URUGUAI;2015-01-01;11753.00000000;475.16000366;10464.00000000;423.04000854
AMAZONAS;2015-01-02;689.00000000;74.36000061;652.00000000;70.37000275
ARAGUARI;2015-01-02;35.00000000;40.84000015;33.00000000;38.50999832
CAPIVARI;2015-01-02;144.00000000;86.73999786;144.00000000;86.73999786
DOCE;2015-01-02;304.00000000;18.19000053;302.00000000;18.06999969
GRANDE;2015-01-02;2782.00000000;30.56999969;2782.00000000;30.56999969
IGUACU;2015-01-02;12401.00000000;322.25000000;12401.00000000;322.25000000
ITABAPOANA;2015-01-02;17.00000000;16.37999916;3.00000000;2.89000010
ITAJAI;2015-01-02;330.00000000;160.89999390;194.00000000;94.58999634
JACUI;2015-01-02;2755.00000000;484.98999023;2454.00000000;432.00000000
JEQUITINHONHA;2015-01-02;131.00000000;12.13000011;109.00000000;10.10000038
MUCURI;2015-01-02;32.00000000;40.56999969;32.00000000;40.56999969
PARAGUACU;2015-01-02;26.00000000;17.70000076;26.00000000;17.70000076
PARAGUAI;2015-01-02;565.00000000;88.12000275;448.00000000;69.87000275
PARAIBA DO SUL;2015-01-02;529.00000000;33.81999969;521.00000000;33.29999924
PARANA;2015-01-02;18565.00000000;81.98000336;18565.00000000;81.98000336
PARANAIBA;2015-01-02;3650.00000000;40.68000031;3643.00000000;40.59999847
PARANAPANEMA;2015-01-02;2296.00000000;93.45999908;2292.00000000;93.30000305
PARNAIBA;2015-01-02;90.00000000;37.61000061;90.00000000;37.61000061
SAO FRANCISCO;2015-01-02;6608.00000000;48.24000168;6608.00000000;48.24000168
TIETE;2015-01-02;937.00000000;50.75999832;933.00000000;50.54000092
TOCANTINS;2015-01-02;6980.00000000;49.45999908;6980.00000000;49.45999908
URUGUAI;2015-01-02;14606.00000000;590.50000000;10421.00000000;421.29998779
AMAZONAS;2015-01-03;641.00000000;69.18000031;610.00000000;65.83999634
