nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2018-01-01;10566.36621094;102.39510345;7564.83886719;73.30829620
ARAGUARI;2018-01-01;263.64099121;102.21779633;237.57499695;92.11160278
CAPIVARI;2018-01-01;314.24899292;192.53289795;314.24899292;192.53289795
DOCE;2018-01-01;348.86199951;20.81030083;298.78500366;17.82309914
GRANDE;2018-01-01;4056.45800781;44.34719849;4056.45800781;44.34719849
IGUACU;2018-01-01;8091.15087891;220.27009583;7758.34814453;211.21000671
ITABAPOANA;2018-01-01;35.99800110;35.13869858;27.39500046;26.74110031
ITAJAI;2018-01-01;125.23799896;60.68780136;125.23799896;60.68780136
JACUI;2018-01-01;544.94799805;97.53790283;523.07299805;93.62249756
JEQUITINHONHA;2018-01-01;116.18599701;10.96840000;103.25000000;9.74720001
MUCURI;2018-01-01;17.83399963;23.44389915;17.83399963;23.44389915
PARAGUACU;2018-01-01;3.90300012;2.66860008;3.90300012;2.66860008
PARAGUAI;2018-01-01;458.21398926;72.01560211;433.96701050;68.20480347
PARAIBA DO SUL;2018-01-01;988.16998291;61.13209915;988.16998291;61.13209915
PARANA;2018-01-01;25158.90429688;111.99629974;21320.72460938;94.91049957
PARANAIBA;2018-01-01;4439.68603516;49.22980118;4415.94677734;48.96659851
PARANAPANEMA;2018-01-01;7110.45214844;292.47061157;5787.30908203;238.04640198
PARNAIBA;2018-01-01;135.54800415;56.14979935;135.54800415;56.14979935
SAO FRANCISCO;2018-01-01;8826.38476563;65.10430145;8727.25488281;64.37310028
TIETE;2018-01-01;1812.22900391;97.18939972;1806.92199707;96.90480042
TOCANTINS;2018-01-01;6491.11279297;46.31589890;6491.11279297;46.31589890
URUGUAI;2018-01-01;3366.30908203;136.94610596;3290.64697266;133.86810303
AMAZONAS;2018-01-02;10515.78613281;101.90499878;9317.32714844;90.29109955
ARAGUARI;2018-01-02;251.81599426;97.63300323;240.37300110;93.19640350
CAPIVARI;2018-01-02;300.27600098;183.97200012;300.27600098;183.97200012
DOCE;2018-01-02;357.31600952;21.31459999;316.37298584;18.87229919
GRANDE;2018-01-02;4675.00683594;51.10940170;4675.00683594;51.10940170
IGUACU;2018-01-02;8759.71972656;238.47090149;8415.41113281;229.09759521
ITABAPOANA;2018-01-02;35.61000061;34.75999832;27.00699997;26.36230087
ITAJAI;2018-01-02;141.19599915;68.42070007;141.19599915;68.42070007
JACUI;2018-01-02;554.78198242;99.29799652;532.90502930;95.38230133
JEQUITINHONHA;2018-01-02;123.33200073;11.64299965;106.13600159;10.01959991
MUCURI;2018-01-02;14.50399971;19.06640053;14.50399971;19.06640053
PARAGUACU;2018-01-02;4.64599991;3.17659998;4.64599991;3.17659998
PARAGUAI;2018-01-02;488.40301514;76.76029968;464.15499878;72.94930267
PARAIBA DO SUL;2018-01-02;980.73101807;60.67190170;980.73101807;60.67190170
PARANA;2018-01-02;26066.00781250;116.03440094;23849.85546875;106.16899872
PARANAIBA;2018-01-02;4653.29882813;51.59849930;4615.73681641;51.18199921
PARANAPANEMA;2018-01-02;7285.75585938;299.68130493;6057.06982422;249.14239502
PARNAIBA;2018-01-02;139.21600342;57.66920090;139.21600342;57.66920090
SAO FRANCISCO;2018-01-02;8597.70703125;63.41759872;8498.57714844;62.68640137
TIETE;2018-01-02;1968.23706055;105.55609894;1962.57702637;105.25250244
TOCANTINS;2018-01-02;6495.99121094;46.35070038;6495.99121094;46.35070038
URUGUAI;2018-01-02;3331.88891602;135.54580688;3263.41699219;132.76029968
AMAZONAS;2018-01-03;10283.27636719;99.65180206;9197.66113281;89.13150024
ARAGUARI;2018-01-03;249.76300049;96.83699799;228.88200378;88.74120331
CAPIVARI;2018-01-03;212.35000610;130.10180664;212.35000610;130.10180664
DOCE;2018-01-03;375.64199829;22.40780067;329.16198730;19.63520050
GRANDE;2018-01-03;5185.67480469;56.69229889;5185.67480469;56.69229889
IGUACU;2018-01-03;8801.43847656;239.60659790;8410.17187500;228.95500183
ITABAPOANA;2018-01-03;35.61000061;34.75999832;27.00699997;26.36230087
ITAJAI;2018-01-03;175.05499268;84.82810211;175.05499268;84.82810211
JACUI;2018-01-03;573.36401367;102.62390137;551.48797607;98.70839691
JEQUITINHONHA;2018-01-03;141.97599792;13.40299988;128.97500610;12.17570019
MUCURI;2018-01-03;13.95899963;18.35000038;13.95899963;18.35000038
PARAGUACU;2018-01-03;5.57499981;3.81180000;5.57499981;3.81180000
PARAGUAI;2018-01-03;516.85198975;81.23149872;492.60501099;77.42070007
PARAIBA DO SUL;2018-01-03;1002.83801270;62.03950119;1002.12097168;61.99509811
PARANA;2018-01-03;27645.92773438;123.06749725;24839.75976563;110.57569885
PARANAIBA;2018-01-03;4839.26611328;53.66059875;4821.13916016;53.45959854
PARANAPANEMA;2018-01-03;6724.95605469;276.61419678;5450.85302734;224.20719910
PARNAIBA;2018-01-03;138.28100586;57.28189850;138.28100586;57.28189850
SAO FRANCISCO;2018-01-03;8075.35107422;59.56460190;7976.22119141;58.83340073
TIETE;2018-01-03;2080.92309570;111.59940338;2075.26196289;111.29579926
TOCANTINS;2018-01-03;6543.20996094;46.68759918;6543.20996094;46.68759918
URUGUAI;2018-01-03;3331.47290039;135.52890015;3281.71801758;133.50480652
AMAZONAS;2018-01-04;9991.97851563;96.82890320;9382.43554688;90.92209625
ARAGUARI;2018-01-04;219.48599243;85.09819794;186.94400024;72.48110199
CAPIVARI;2018-01-04;171.96000671;105.35579681;171.96000671;105.35579681
DOCE;2018-01-04;441.27899170;26.32320023;399.39898682;23.82500076
GRANDE;2018-01-04;5625.71679688;61.50310135;5625.71679688;61.50310135
IGUACU;2018-01-04;8121.03320313;221.08360291;7768.45019531;211.48500061
ITABAPOANA;2018-01-04;41.90299988;40.90269852;29.92600060;29.21159935
ITAJAI;2018-01-04;139.43099976;67.56539917;139.43099976;67.56539917
JACUI;2018-01-04;489.31500244;87.58029938;471.09600830;84.31939697
JEQUITINHONHA;2018-01-04;337.52099609;31.86319923;320.79000854;30.28370094
MUCURI;2018-01-04;13.40100002;17.61639977;13.40100002;17.61639977
PARAGUACU;2018-01-04;6.69000006;4.57420015;6.69000006;4.57420015
PARAGUAI;2018-01-04;525.58599854;82.60420227;500.40798950;78.64710236
PARAIBA DO SUL;2018-01-04;1110.84594727;68.72129822;1110.84594727;68.72129822
PARANA;2018-01-04;29098.29296875;129.53280640;26643.66796875;118.60590363
PARANAIBA;2018-01-04;5089.40917969;56.43429947;5075.09179688;56.27560043
PARANAPANEMA;2018-01-04;6260.02392578;257.49038696;4954.94580078;203.80929565
PARNAIBA;2018-01-04;134.21800232;55.59880066;134.21800232;55.59880066
SAO FRANCISCO;2018-01-04;7423.64306641;54.75759888;7324.51318359;54.02640152
TIETE;2018-01-04;2099.66699219;112.60469818;2076.19995117;111.34609985
TOCANTINS;2018-01-04;6688.11279297;47.72150040;6688.11279297;47.72150040
URUGUAI;2018-01-04;3015.56494141;122.67729950;2959.68090820;120.40390015
AMAZONAS;2018-01-05;9794.02148438;94.91059875;9308.28515625;90.20349884
ARAGUARI;2018-01-05;189.14799500;73.33570099;188.25399780;72.98899841
CAPIVARI;2018-01-05;164.04800415;100.50830078;164.04800415;100.50830078
DOCE;2018-01-05;575.40502930;34.32410049;519.52001953;30.99049950
GRANDE;2018-01-05;5870.66894531;64.18099976;5870.66894531;64.18099976
