nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2000-01-01;33.26900101;143.07299805;22.26000023;95.72889709
ARAGUARI;2000-01-01;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2000-01-01;134.44099426;82.36879730;134.44099426;82.36879730
DOCE;2000-01-01;512.48498535;58.40230179;456.67498779;52.04219818
GRANDE;2000-01-01;3628.16088867;40.56090164;3602.19799805;40.27069855
IGUACU;2000-01-01;1463.16699219;41.63899994;1463.16699219;41.63899994
ITABAPOANA;2000-01-01;0E-8;0E-8;0E-8;0E-8
ITAJAI;2000-01-01;0E-8;0E-8;0E-8;0E-8
JACUI;2000-01-01;154.09300232;50.00009918;154.09300232;50.00009918
JEQUITINHONHA;2000-01-01;0E-8;0E-8;0E-8;0E-8
MUCURI;2000-01-01;0E-8;0E-8;0E-8;0E-8
PARAGUACU;2000-01-01;0E-8;0E-8;0E-8;0E-8
PARAGUAI;2000-01-01;0E-8;0E-8;0E-8;0E-8
PARAIBA DO SUL;2000-01-01;1291.71899414;114.66989899;1291.71899414;114.66989899
PARANA;2000-01-01;12073.35839844;58.83689880;12073.35839844;58.83689880
PARANAIBA;2000-01-01;5889.37207031;78.64489746;5889.37207031;78.64489746
PARANAPANEMA;2000-01-01;843.88299561;42.70199966;843.88299561;42.70199966
PARNAIBA;2000-01-01;307.03799438;127.18820190;307.03799438;127.18820190
SAO FRANCISCO;2000-01-01;10244.10742188;76.88520050;10060.21582031;75.50499725
TIETE;2000-01-01;1166.70397949;62.57009888;1166.64294434;62.56679916
TOCANTINS;2000-01-01;11756.65917969;122.04209900;11756.65917969;122.04209900
URUGUAI;2000-01-01;20.71400070;25.86759949;20.71400070;25.86759949
AMAZONAS;2000-01-02;35.96200180;154.65420532;14.85499954;63.88380051
ARAGUARI;2000-01-02;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2000-01-02;154.73199463;94.80059814;154.73199463;94.80059814
DOCE;2000-01-02;599.63397217;68.33370209;495.35198975;56.44979858
GRANDE;2000-01-02;4208.01708984;47.04339981;4089.26196289;45.71580124
IGUACU;2000-01-02;1581.00903320;44.99259949;1581.00903320;44.99259949
ITABAPOANA;2000-01-02;0E-8;0E-8;0E-8;0E-8
ITAJAI;2000-01-02;0E-8;0E-8;0E-8;0E-8
JACUI;2000-01-02;157.54699707;51.12080002;157.54699707;51.12080002
JEQUITINHONHA;2000-01-02;0E-8;0E-8;0E-8;0E-8
MUCURI;2000-01-02;0E-8;0E-8;0E-8;0E-8
PARAGUACU;2000-01-02;0E-8;0E-8;0E-8;0E-8
PARAGUAI;2000-01-02;0E-8;0E-8;0E-8;0E-8
PARAIBA DO SUL;2000-01-02;1653.55395508;146.79119873;1593.19995117;141.43339539
PARANA;2000-01-02;12579.79980469;61.30500031;12579.79980469;61.30500031
PARANAIBA;2000-01-02;7057.79394531;94.24770355;7057.79394531;94.24770355
PARANAPANEMA;2000-01-02;885.21899414;44.79370117;884.92102051;44.77859879
PARNAIBA;2000-01-02;291.79998779;120.87599945;291.79998779;120.87599945
SAO FRANCISCO;2000-01-02;10185.38574219;76.44450378;10028.18261719;75.26460266
TIETE;2000-01-02;1420.22998047;76.16660309;1420.16796875;76.16329956
TOCANTINS;2000-01-02;12378.71289063;128.49940491;12378.71289063;128.49940491
URUGUAI;2000-01-02;21.81299973;27.23999977;21.81299973;27.23999977
AMAZONAS;2000-01-03;33.57099915;144.37170410;17.05500031;73.34480286
ARAGUARI;2000-01-03;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2000-01-03;155.43400574;95.23069763;155.43400574;95.23069763
DOCE;2000-01-03;968.05499268;110.31860352;746.25701904;85.04270172
GRANDE;2000-01-03;6063.68310547;67.78880310;5803.25195313;64.87729645
IGUACU;2000-01-03;1730.61206055;49.25000000;1730.61206055;49.25000000
ITABAPOANA;2000-01-03;0E-8;0E-8;0E-8;0E-8
ITAJAI;2000-01-03;0E-8;0E-8;0E-8;0E-8
JACUI;2000-01-03;157.64199829;51.15169907;157.64199829;51.15169907
JEQUITINHONHA;2000-01-03;0E-8;0E-8;0E-8;0E-8
MUCURI;2000-01-03;0E-8;0E-8;0E-8;0E-8
PARAGUACU;2000-01-03;0E-8;0E-8;0E-8;0E-8
