nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2014-01-01;1016.00000000;132.33999634;615.00000000;80.11000061
ARAGUARI;2014-01-01;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2014-01-01;111.00000000;66.86000061;111.00000000;66.86000061
DOCE;2014-01-01;1707.00000000;102.12000275;1356.00000000;81.12000275
GRANDE;2014-01-01;4360.00000000;47.91999817;4360.00000000;47.91999817
IGUACU;2014-01-01;2633.00000000;68.41999817;2632.00000000;68.38999939
ITABAPOANA;2014-01-01;85.00000000;81.90000153;58.00000000;55.88000107
ITAJAI;2014-01-01;182.00000000;88.73999786;182.00000000;88.73999786
JACUI;2014-01-01;1355.00000000;238.52999878;1212.00000000;213.36000061
JEQUITINHONHA;2014-01-01;1609.00000000;149.05000305;1550.00000000;143.58000183
MUCURI;2014-01-01;91.00000000;115.37999725;66.00000000;83.68000031
PARAGUACU;2014-01-01;488.00000000;332.17999268;136.00000000;92.56999969
PARAGUAI;2014-01-01;530.00000000;82.66000366;508.00000000;79.23000336
PARAIBA DO SUL;2014-01-01;1050.00000000;67.12000275;1040.00000000;66.48000336
PARANA;2014-01-01;14894.00000000;65.76999664;14894.00000000;65.76999664
PARANAIBA;2014-01-01;5917.00000000;66.44000244;5917.00000000;66.44000244
PARANAPANEMA;2014-01-01;1706.00000000;69.44000244;1705.00000000;69.40000153
PARNAIBA;2014-01-01;170.00000000;71.02999878;170.00000000;71.02999878
SAO FRANCISCO;2014-01-01;13565.00000000;99.02999878;13565.00000000;99.02999878
TIETE;2014-01-01;3426.00000000;185.58000183;3392.00000000;183.74000549
TOCANTINS;2014-01-01;17129.00000000;121.38999939;15651.00000000;110.91000366
URUGUAI;2014-01-01;2047.00000000;82.76000214;1987.00000000;80.33000183
AMAZONAS;2014-01-02;969.00000000;126.22000122;596.00000000;77.62999725
ARAGUARI;2014-01-02;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2014-01-02;176.00000000;106.01000214;176.00000000;106.01000214
DOCE;2014-01-02;1569.00000000;93.87000275;1356.00000000;81.12000275
GRANDE;2014-01-02;4383.00000000;48.16999817;4380.00000000;48.13999939
IGUACU;2014-01-02;2892.00000000;75.15000153;2892.00000000;75.15000153
ITABAPOANA;2014-01-02;81.00000000;78.05000305;56.00000000;53.95999908
ITAJAI;2014-01-02;296.00000000;144.32000732;196.00000000;95.55999756
JACUI;2014-01-02;1536.00000000;270.39999390;1279.00000000;225.14999390
JEQUITINHONHA;2014-01-02;1105.00000000;102.36000061;1105.00000000;102.36000061
MUCURI;2014-01-02;89.00000000;112.83999634;64.00000000;81.13999939
PARAGUACU;2014-01-02;306.00000000;208.28999329;99.00000000;67.38999939
PARAGUAI;2014-01-02;504.00000000;78.61000061;482.00000000;75.16999817
PARAIBA DO SUL;2014-01-02;1158.00000000;74.01999664;1133.00000000;72.43000031
PARANA;2014-01-02;15026.00000000;66.34999847;15026.00000000;66.34999847
PARANAIBA;2014-01-02;5819.00000000;65.33999634;5819.00000000;65.33999634
PARANAPANEMA;2014-01-02;1803.00000000;73.38999939;1802.00000000;73.34999847
PARNAIBA;2014-01-02;158.00000000;66.01999664;158.00000000;66.01999664
SAO FRANCISCO;2014-01-02;13710.00000000;100.08999634;13710.00000000;100.08999634
TIETE;2014-01-02;3543.00000000;191.91999817;3509.00000000;190.08000183
TOCANTINS;2014-01-02;16335.00000000;115.76000214;15381.00000000;109.00000000
