nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2010-01-01;827.00000000;132.19000244;823.00000000;131.55000305
ARAGUARI;2010-01-01;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2010-01-01;375.00000000;225.88000488;206.00000000;124.08000183
DOCE;2010-01-01;2168.00000000;144.02000427;1027.00000000;68.22000122
GRANDE;2010-01-01;12490.00000000;137.25999451;3056.00000000;33.58000183
IGUACU;2010-01-01;5857.00000000;152.19999695;3346.00000000;86.94999695
ITABAPOANA;2010-01-01;129.00000000;124.30000305;48.00000000;46.25000000
ITAJAI;2010-01-01;0E-8;0E-8;0E-8;0E-8
JACUI;2010-01-01;787.00000000;138.53999329;575.00000000;101.22000122
JEQUITINHONHA;2010-01-01;890.00000000;82.44000244;890.00000000;82.44000244
MUCURI;2010-01-01;24.00000000;30.43000031;24.00000000;30.43000031
PARAGUACU;2010-01-01;15.00000000;10.21000004;15.00000000;10.21000004
PARAGUAI;2010-01-01;524.00000000;81.73000336;490.00000000;76.41999817
PARAIBA DO SUL;2010-01-01;3332.00000000;263.69000244;2689.00000000;212.80000305
PARANA;2010-01-01;31027.00000000;137.00999451;9691.00000000;42.79999924
PARANAIBA;2010-01-01;10525.00000000;129.03999329;8964.00000000;109.91000366
PARANAPANEMA;2010-01-01;3458.00000000;161.86999512;1876.00000000;87.81999969
PARNAIBA;2010-01-01;238.00000000;99.44999695;238.00000000;99.44999695
SAO FRANCISCO;2010-01-01;9688.00000000;71.26999664;9688.00000000;71.26999664
TIETE;2010-01-01;4604.00000000;249.39999390;2841.00000000;153.89999390
TOCANTINS;2010-01-01;15882.00000000;124.51000214;14181.00000000;111.16999817
URUGUAI;2010-01-01;1852.00000000;96.23999786;1761.00000000;91.51000214
AMAZONAS;2010-01-02;888.00000000;141.94000244;888.00000000;141.94000244
ARAGUARI;2010-01-02;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2010-01-02;340.00000000;204.80000305;138.00000000;83.12000275
DOCE;2010-01-02;2312.00000000;153.58999634;1051.00000000;69.81999969
GRANDE;2010-01-02;13252.00000000;145.63999939;4486.00000000;49.29999924
IGUACU;2010-01-02;5586.00000000;145.16000366;2459.00000000;63.90000153
ITABAPOANA;2010-01-02;142.00000000;136.82000732;32.00000000;30.82999992
ITAJAI;2010-01-02;0E-8;0E-8;0E-8;0E-8
JACUI;2010-01-02;703.00000000;123.76000214;650.00000000;114.43000031
JEQUITINHONHA;2010-01-02;724.00000000;67.06999969;724.00000000;67.06999969
MUCURI;2010-01-02;23.00000000;29.15999985;23.00000000;29.15999985
PARAGUACU;2010-01-02;15.00000000;10.21000004;15.00000000;10.21000004
PARAGUAI;2010-01-02;697.00000000;108.70999908;661.00000000;103.08999634
PARAIBA DO SUL;2010-01-02;2753.00000000;217.86999512;2262.00000000;179.00999451
PARANA;2010-01-02;32370.00000000;142.94000244;11259.00000000;49.72000122
PARANAIBA;2010-01-02;10592.00000000;129.86999512;8442.00000000;103.51000214
PARANAPANEMA;2010-01-02;3662.00000000;171.41999817;2135.00000000;99.94000244
PARNAIBA;2010-01-02;245.00000000;102.37000275;245.00000000;102.37000275
SAO FRANCISCO;2010-01-02;9507.00000000;69.94000244;9507.00000000;69.94000244
TIETE;2010-01-02;4591.00000000;248.69000244;3038.00000000;164.57000732
TOCANTINS;2010-01-02;16808.00000000;131.77000427;15070.00000000;118.13999939
URUGUAI;2010-01-02;1713.00000000;89.01000214;1492.00000000;77.52999878
AMAZONAS;2010-01-03;901.00000000;144.02000427;897.00000000;143.38000488
ARAGUARI;2010-01-03;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2010-01-03;206.00000000;124.08000183;186.00000000;112.04000092
DOCE;2010-01-03;1917.00000000;127.34999847;1097.00000000;72.87000275
GRANDE;2010-01-03;13587.00000000;149.32000732;5032.00000000;55.29999924
IGUACU;2010-01-03;5497.00000000;142.83999634;3828.00000000;99.47000122
ITABAPOANA;2010-01-03;94.00000000;90.56999969;51.00000000;49.13999939
ITAJAI;2010-01-03;0E-8;0E-8;0E-8;0E-8
JACUI;2010-01-03;725.00000000;127.62999725;720.00000000;126.75000000
JEQUITINHONHA;2010-01-03;664.00000000;61.50999832;664.00000000;61.50999832
MUCURI;2010-01-03;25.00000000;31.70000076;25.00000000;31.70000076
PARAGUACU;2010-01-03;16.00000000;10.89000034;16.00000000;10.89000034
PARAGUAI;2010-01-03;661.00000000;103.08999634;618.00000000;96.38999939
PARAIBA DO SUL;2010-01-03;2486.00000000;196.74000549;2105.00000000;166.58999634
PARANA;2010-01-03;33633.00000000;148.52000427;13519.00000000;59.70000076
PARANAIBA;2010-01-03;10270.00000000;125.91999817;7540.00000000;92.44999695
PARANAPANEMA;2010-01-03;3660.00000000;171.33000183;2340.00000000;109.54000092
PARNAIBA;2010-01-03;258.00000000;107.80999756;258.00000000;107.80999756
SAO FRANCISCO;2010-01-03;9225.00000000;67.87000275;9225.00000000;67.87000275
TIETE;2010-01-03;4520.00000000;244.85000610;2790.00000000;151.13000488
TOCANTINS;2010-01-03;16838.00000000;132.00000000;14589.00000000;114.37000275
URUGUAI;2010-01-03;1497.00000000;77.79000092;1455.00000000;75.61000061
AMAZONAS;2010-01-04;924.00000000;147.69000244;924.00000000;147.69000244
ARAGUARI;2010-01-04;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2010-01-04;263.00000000;158.41999817;263.00000000;158.41999817
DOCE;2010-01-04;1678.00000000;111.47000122;999.00000000;66.36000061
GRANDE;2010-01-04;13425.00000000;147.53999329;7120.00000000;78.25000000
IGUACU;2010-01-04;5557.00000000;144.39999390;3969.00000000;103.13999939
ITABAPOANA;2010-01-04;74.00000000;71.30000305;33.00000000;31.79999924
ITAJAI;2010-01-04;0E-8;0E-8;0E-8;0E-8
JACUI;2010-01-04;9232.00000000;1625.18994141;6230.00000000;1096.71997070
JEQUITINHONHA;2010-01-04;743.00000000;68.83000183;743.00000000;68.83000183
MUCURI;2010-01-04;23.00000000;29.15999985;23.00000000;29.15999985
PARAGUACU;2010-01-04;15.00000000;10.21000004;15.00000000;10.21000004
PARAGUAI;2010-01-04;642.00000000;100.12999725;624.00000000;97.31999969
PARAIBA DO SUL;2010-01-04;2391.00000000;189.22000122;2050.00000000;162.22999573
PARANA;2010-01-04;35314.00000000;155.94999695;16789.00000000;74.13999939
PARANAIBA;2010-01-04;9297.00000000;113.98999786;6695.00000000;82.08999634
PARANAPANEMA;2010-01-04;3366.00000000;157.57000732;1943.00000000;90.94999695
PARNAIBA;2010-01-04;268.00000000;111.98000336;268.00000000;111.98000336
SAO FRANCISCO;2010-01-04;9169.00000000;67.44999695;9169.00000000;67.44999695
TIETE;2010-01-04;3773.00000000;204.38000488;2081.00000000;112.73000336
TOCANTINS;2010-01-04;16612.00000000;130.22999573;15246.00000000;119.51999664
URUGUAI;2010-01-04;1791.00000000;93.06999969;1458.00000000;75.76000214
AMAZONAS;2010-01-05;924.00000000;147.69000244;920.00000000;147.05000305
ARAGUARI;2010-01-05;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2010-01-05;291.00000000;175.27999878;251.00000000;151.19000244
DOCE;2010-01-05;1308.00000000;86.88999939;939.00000000;62.38000107
GRANDE;2010-01-05;12902.00000000;141.78999329;10969.00000000;120.55000305
IGUACU;2010-01-05;5615.00000000;145.91000366;4920.00000000;127.84999847
ITABAPOANA;2010-01-05;83.00000000;79.97000122;60.00000000;57.81000137
ITAJAI;2010-01-05;0E-8;0E-8;0E-8;0E-8
JACUI;2010-01-05;8482.00000000;1493.16003418;3508.00000000;617.54998779
JEQUITINHONHA;2010-01-05;1007.00000000;93.27999878;1007.00000000;93.27999878
MUCURI;2010-01-05;23.00000000;29.15999985;23.00000000;29.15999985
PARAGUACU;2010-01-05;14.00000000;9.52999973;14.00000000;9.52999973
PARAGUAI;2010-01-05;604.00000000;94.19999695;566.00000000;88.27999878
PARAIBA DO SUL;2010-01-05;2248.00000000;177.89999390;1869.00000000;147.91000366
PARANA;2010-01-05;36348.00000000;160.50999451;18471.00000000;81.56999969
PARANAIBA;2010-01-05;8198.00000000;100.51000214;6243.00000000;76.54000092
PARANAPANEMA;2010-01-05;3121.00000000;146.10000610;1831.00000000;85.70999908
PARNAIBA;2010-01-05;270.00000000;112.81999969;270.00000000;112.81999969
SAO FRANCISCO;2010-01-05;9212.00000000;67.76999664;9212.00000000;67.76999664
