nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2022-01-01;23868.03320313;136.19099426;21713.01562500;123.89450073
ARAGUARI;2022-01-01;427.27700806;163.95719910;322.98699951;123.93840027
CAPIVARI;2022-01-01;87.24299622;54.09759903;87.24299622;54.09759903
DOCE;2022-01-01;2091.38598633;123.62439728;1519.81005859;89.83779907
GRANDE;2022-01-01;4789.89892578;52.97090149;4789.89892578;52.97090149
IGUACU;2022-01-01;764.85198975;20.17569923;592.45501709;15.62810040
ITABAPOANA;2022-01-01;131.84300232;127.86849976;62.54100037;60.65560150
ITAJAI;2022-01-01;34.06499863;16.91650009;34.06499863;16.91650009
JACUI;2022-01-01;83.01000214;15.16549969;76.19400024;13.92029953
JEQUITINHONHA;2022-01-01;3201.10888672;309.17599487;2176.51391602;210.21650696
MUCURI;2022-01-01;170.27999878;228.56340027;85.77400208;115.13269806
PARAGUACU;2022-01-01;736.80999756;505.81329346;423.87100220;290.98361206
PARAGUAI;2022-01-01;619.39599609;98.29609680;592.86901855;94.08630371
PARAIBA DO SUL;2022-01-01;1606.31103516;98.77010345;1436.95996094;88.35690308
PARANA;2022-01-01;13659.41406250;61.21329880;13648.97167969;61.16650009
PARANAIBA;2022-01-01;6647.85595703;74.54579926;6631.59179688;74.36340332
PARANAPANEMA;2022-01-01;790.72198486;33.10010147;759.23999023;31.78230095
PARNAIBA;2022-01-01;614.10498047;254.28120422;219.05599976;90.70410156
SAO FRANCISCO;2022-01-01;12991.15527344;97.01499939;12924.23535156;96.51529694
TIETE;2022-01-01;1257.36096191;67.88030243;1257.36096191;67.88030243
TOCANTINS;2022-01-01;30103.18554688;213.39190674;22343.45898438;158.38560486
URUGUAI;2022-01-01;454.26699829;18.57920074;209.56199646;8.57089996
AMAZONAS;2022-01-02;24137.02734375;137.72590637;22380.92773438;127.70559692
ARAGUARI;2022-01-02;487.56201172;187.09010315;342.95300293;131.59989929
CAPIVARI;2022-01-02;72.12000275;44.72010040;72.12000275;44.72010040
DOCE;2022-01-02;2531.06591797;149.61439514;1590.31799316;94.00559998
GRANDE;2022-01-02;5594.23779297;61.86600113;5594.23779297;61.86600113
IGUACU;2022-01-02;825.13201904;21.76580048;712.78497314;18.80220032
ITABAPOANA;2022-01-02;106.70899963;103.49220276;62.76100159;60.86899948
ITAJAI;2022-01-02;34.78799820;17.27549934;34.78799820;17.27549934
JACUI;2022-01-02;90.60800171;16.55369949;84.45400238;15.42940044
JEQUITINHONHA;2022-01-02;3036.02001953;293.23110962;2367.49511719;228.66220093
MUCURI;2022-01-02;149.47700500;200.63989258;90.59200287;121.59980011
PARAGUACU;2022-01-02;735.81402588;505.12960815;402.96099854;276.62899780
PARAGUAI;2022-01-02;590.41601563;93.69699860;563.88897705;89.48729706
PARAIBA DO SUL;2022-01-02;1622.59997559;99.77169800;1455.45605469;89.49420166
PARANA;2022-01-02;13371.07519531;59.92110062;13369.23242188;59.91289902
PARANAIBA;2022-01-02;7831.32519531;87.81670380;7817.61621094;87.66290283
PARANAPANEMA;2022-01-02;790.18200684;33.07749939;790.18200684;33.07749939
PARNAIBA;2022-01-02;709.79901123;293.90499878;314.74899292;130.32749939
SAO FRANCISCO;2022-01-02;13577.65917969;101.39489746;13496.01660156;100.78520203
TIETE;2022-01-02;1272.95300293;68.72209930;1272.95300293;68.72209930
TOCANTINS;2022-01-02;31938.59179688;226.40249634;24412.07812500;173.04939270
URUGUAI;2022-01-02;475.63000488;19.45289993;228.94200134;9.36359978
AMAZONAS;2022-01-03;24247.94921875;138.35879517;22988.95117188;131.17500305
ARAGUARI;2022-01-03;568.35900879;218.09399414;315.00799561;120.87670135
CAPIVARI;2022-01-03;92.19899750;57.17070007;92.19899750;57.17070007
DOCE;2022-01-03;2506.28002930;148.14930725;1534.89794922;90.72969818
GRANDE;2022-01-03;6572.27587891;72.68199921;6566.27392578;72.61569977
IGUACU;2022-01-03;898.15197754;23.69190025;858.72698975;22.65189934
ITABAPOANA;2022-01-03;98.10500336;95.14749908;60.91799927;59.08160019
ITAJAI;2022-01-03;35.22900009;17.49449921;35.22900009;17.49449921
JACUI;2022-01-03;106.01499939;19.36840057;99.09200287;18.10359955
JEQUITINHONHA;2022-01-03;2408.57910156;232.63029480;2027.48400879;195.82260132
MUCURI;2022-01-03;115.73699951;155.35139465;86.96900177;116.73670197
PARAGUACU;2022-01-03;606.29602051;416.21670532;166.28399658;114.15239716
PARAGUAI;2022-01-03;589.52099609;93.55500031;562.99401855;89.34529877
PARAIBA DO SUL;2022-01-03;1637.54699707;100.69080353;1505.76904297;92.58789825
PARANA;2022-01-03;13285.69726563;59.53850174;13283.85351563;59.53030014
PARANAIBA;2022-01-03;8681.03320313;97.34490204;8675.92187500;97.28759766
PARANAPANEMA;2022-01-03;760.89099121;31.85140038;759.34497070;31.78669930
PARNAIBA;2022-01-03;730.72802734;302.57110596;278.16198730;115.17800140
SAO FRANCISCO;2022-01-03;14172.03613281;105.83360291;14122.51464844;105.46379852
TIETE;2022-01-03;1317.71594238;71.13860321;1312.20996094;70.84140015
TOCANTINS;2022-01-03;32315.85351563;229.07679749;24199.65039063;171.54359436
URUGUAI;2022-01-03;530.29199219;21.68860054;369.63500977;15.11779976
AMAZONAS;2022-01-04;24320.95117188;138.77540588;22859.91406250;130.43870544
ARAGUARI;2022-01-04;628.79699707;241.28559875;303.82998657;116.58740234
CAPIVARI;2022-01-04;174.10499573;107.95899963;174.10499573;107.95899963
DOCE;2022-01-04;2547.25708008;150.57150269;1431.26098633;84.60359955
GRANDE;2022-01-04;7555.16113281;83.55159760;7555.16113281;83.55159760
IGUACU;2022-01-04;963.40002441;25.41309929;921.73602295;24.31399918
ITABAPOANA;2022-01-04;97.19200134;94.26210022;58.31499863;56.55699921
ITAJAI;2022-01-04;35.75799942;17.75720024;35.75799942;17.75720024
JACUI;2022-01-04;122.84100342;22.44249916;115.75900269;21.14859962
JEQUITINHONHA;2022-01-04;2075.88208008;200.49710083;1843.50695801;178.05340576
MUCURI;2022-01-04;95.72100067;128.48429871;86.28199768;115.81459808
PARAGUACU;2022-01-04;556.75598145;382.20788574;84.50299835;58.01050186
PARAGUAI;2022-01-04;566.51800537;89.90450287;522.30603027;82.88819885
