nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2016-01-01;4843.00000000;60.45000076;2498.00000000;31.18000031
ARAGUARI;2016-01-01;65.00000000;36.06000137;55.00000000;30.51000023
CAPIVARI;2016-01-01;294.00000000;177.08999634;294.00000000;177.08999634
DOCE;2016-01-01;241.00000000;14.42000008;69.00000000;4.13000011
GRANDE;2016-01-01;4426.00000000;48.63999939;4421.00000000;48.59000015
IGUACU;2016-01-01;10928.00000000;283.97000122;3511.00000000;91.23999786
ITABAPOANA;2016-01-01;14.00000000;13.48999977;3.00000000;2.89000010
ITAJAI;2016-01-01;425.00000000;207.22000122;209.00000000;101.90000153
JACUI;2016-01-01;2244.00000000;395.02999878;586.00000000;103.16000366
JEQUITINHONHA;2016-01-01;61.00000000;5.65000010;34.00000000;3.15000010
MUCURI;2016-01-01;5.00000000;6.34000015;2.00000000;2.53999996
PARAGUACU;2016-01-01;14.00000000;9.52999973;14.00000000;9.52999973
PARAGUAI;2016-01-01;416.00000000;64.87999725;359.00000000;55.99000168
PARAIBA DO SUL;2016-01-01;916.00000000;58.54999924;914.00000000;58.43000031
PARANA;2016-01-01;25654.00000000;113.29000092;15869.00000000;70.08000183
PARANAIBA;2016-01-01;3572.00000000;39.81000137;3557.00000000;39.65000153
PARANAPANEMA;2016-01-01;7191.00000000;292.72000122;1161.00000000;47.25999832
PARNAIBA;2016-01-01;79.00000000;33.00999832;79.00000000;33.00999832
SAO FRANCISCO;2016-01-01;3449.00000000;25.18000031;3447.00000000;25.15999985
TIETE;2016-01-01;2739.00000000;148.36999512;2431.00000000;131.69000244
TOCANTINS;2016-01-01;2676.00000000;18.95999908;2657.00000000;18.82999992
URUGUAI;2016-01-01;8511.00000000;344.08999634;4506.00000000;182.16999817
AMAZONAS;2016-01-02;4992.00000000;62.31000137;3231.00000000;40.33000183
ARAGUARI;2016-01-02;74.00000000;41.04999924;64.00000000;35.50000000
CAPIVARI;2016-01-02;297.00000000;178.89999390;297.00000000;178.89999390
DOCE;2016-01-02;243.00000000;14.53999996;83.00000000;4.96999979
GRANDE;2016-01-02;4547.00000000;49.97000122;4547.00000000;49.97000122
IGUACU;2016-01-02;11472.00000000;298.10998535;2701.00000000;70.19000244
ITABAPOANA;2016-01-02;21.00000000;20.22999954;9.00000000;8.67000008
ITAJAI;2016-01-02;338.00000000;164.80000305;209.00000000;101.90000153
JACUI;2016-01-02;1916.00000000;337.29000854;240.00000000;42.25000000
JEQUITINHONHA;2016-01-02;58.00000000;5.36999989;30.00000000;2.77999997
MUCURI;2016-01-02;3.00000000;3.79999995;0E-8;0E-8
PARAGUACU;2016-01-02;14.00000000;9.52999973;14.00000000;9.52999973
PARAGUAI;2016-01-02;421.00000000;65.66000366;365.00000000;56.93000031
PARAIBA DO SUL;2016-01-02;954.00000000;60.97999954;952.00000000;60.86000061
PARANA;2016-01-02;26925.00000000;118.90000153;15849.00000000;69.98999786
PARANAIBA;2016-01-02;3679.00000000;41.00999832;3659.00000000;40.77999878
PARANAPANEMA;2016-01-02;6838.00000000;278.35000610;2071.00000000;84.30000305
PARNAIBA;2016-01-02;79.00000000;33.00999832;79.00000000;33.00999832
SAO FRANCISCO;2016-01-02;3376.00000000;24.64999962;3374.00000000;24.62999916
TIETE;2016-01-02;3085.00000000;167.11000061;2710.00000000;146.80000305
TOCANTINS;2016-01-02;2718.00000000;19.26000023;2699.00000000;19.12999916
URUGUAI;2016-01-02;9613.00000000;388.64001465;3388.00000000;136.97000122
AMAZONAS;2016-01-03;5033.00000000;62.81999969;3422.00000000;42.72000122
ARAGUARI;2016-01-03;81.00000000;44.93000031;72.00000000;39.93999863
CAPIVARI;2016-01-03;337.00000000;202.99000549;246.00000000;148.17999268
