nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2021-01-01;8954.20214844;51.45849991;8835.96386719;50.77899933
ARAGUARI;2021-01-01;180.02900696;71.11080170;180.02900696;71.11080170
CAPIVARI;2021-01-01;77.01300049;48.48009872;77.01300049;48.48009872
DOCE;2021-01-01;605.02801514;36.73469925;569.75897217;34.59329987
GRANDE;2021-01-01;8108.35986328;89.60410309;8108.35986328;89.60410309
IGUACU;2021-01-01;3749.28295898;98.93479919;3661.57690430;96.62039948
ITABAPOANA;2021-01-01;52.58499908;50.99980164;52.58499908;50.99980164
ITAJAI;2021-01-01;182.05499268;89.73909760;182.05499268;89.73909760
JACUI;2021-01-01;235.14799500;42.45669937;230.54400635;41.62540054
JEQUITINHONHA;2021-01-01;296.30099487;28.50539970;281.28601074;27.06089973
MUCURI;2021-01-01;15.86299992;21.13190079;15.86299992;21.13190079
PARAGUACU;2021-01-01;21.93400002;15.01939964;21.93400002;15.01939964
PARAGUAI;2021-01-01;411.59201050;65.13230133;386.05099487;61.09049988
PARAIBA DO SUL;2021-01-01;1586.26196289;97.61460114;1562.19799805;96.13379669
PARANA;2021-01-01;13779.82812500;61.53290176;13777.98632813;61.52460098
PARANAIBA;2021-01-01;4711.67382813;52.61510086;4679.45898438;52.25529861
PARANAPANEMA;2021-01-01;1428.68103027;59.29090118;1400.20703125;58.10919952
PARNAIBA;2021-01-01;151.66999817;63.22069931;151.66999817;63.22069931
SAO FRANCISCO;2021-01-01;5517.40283203;41.13040161;5517.40283203;41.13040161
TIETE;2021-01-01;1526.34497070;82.11399841;1521.19396973;81.83689880
TOCANTINS;2021-01-01;5427.52197266;38.79010010;5427.52197266;38.79010010
URUGUAI;2021-01-01;1516.53405762;62.01699829;1206.76293945;49.34920120
AMAZONAS;2021-01-02;9205.33007813;52.90169907;9086.84863281;52.22079849
ARAGUARI;2021-01-02;177.20899963;69.99690247;177.20899963;69.99690247
CAPIVARI;2021-01-02;76.56800079;48.19990158;76.56800079;48.19990158
DOCE;2021-01-02;644.39697266;39.12500000;603.70501709;36.65439987
GRANDE;2021-01-02;8139.76220703;89.95110321;8139.76220703;89.95110321
IGUACU;2021-01-02;3785.34692383;99.88639832;3698.60888672;97.59760284
ITABAPOANA;2021-01-02;102.70300293;99.60690308;73.96800232;71.73819733
ITAJAI;2021-01-02;138.94099426;68.48719788;138.94099426;68.48719788
JACUI;2021-01-02;208.33599854;37.61569977;200.66099548;36.22999954
JEQUITINHONHA;2021-01-02;233.90199280;22.50230026;213.16700745;20.50749969
MUCURI;2021-01-02;14.39299965;19.17370033;14.39299965;19.17370033
PARAGUACU;2021-01-02;20.34099960;13.92850018;20.34099960;13.92850018
PARAGUAI;2021-01-02;402.63598633;63.71500015;377.09500122;59.67330170
PARAIBA DO SUL;2021-01-02;1634.51794434;100.58419800;1603.10400391;98.65100098
PARANA;2021-01-02;14347.54199219;64.06790161;14345.69921875;64.05970001
PARANAIBA;2021-01-02;4361.56884766;48.70550156;4352.05615234;48.59920120
PARANAPANEMA;2021-01-02;1498.66101074;62.19509888;1460.37194824;60.60609818
PARNAIBA;2021-01-02;149.69900513;62.39910126;149.69900513;62.39910126
SAO FRANCISCO;2021-01-02;5364.95800781;39.99399948;5364.95800781;39.99399948
TIETE;2021-01-02;1545.04394531;83.11990356;1539.89404297;82.84290314
TOCANTINS;2021-01-02;5281.49316406;37.74649811;5281.49316406;37.74649811
