nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2012-01-01;568.00000000;82.51000214;454.00000000;65.94999695
ARAGUARI;2012-01-01;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2012-01-01;182.00000000;109.62999725;182.00000000;109.62999725
DOCE;2012-01-01;3558.00000000;212.86000061;1554.00000000;92.97000122
GRANDE;2012-01-01;9055.00000000;99.51000214;8847.00000000;97.23000336
IGUACU;2012-01-01;2213.00000000;57.50999832;2213.00000000;57.50999832
ITABAPOANA;2012-01-01;102.00000000;98.27999878;29.00000000;27.94000053
ITAJAI;2012-01-01;109.00000000;53.15000153;109.00000000;53.15000153
JACUI;2012-01-01;358.00000000;63.02000046;351.00000000;61.79000092
JEQUITINHONHA;2012-01-01;1078.00000000;99.86000061;666.00000000;61.68999863
MUCURI;2012-01-01;42.00000000;53.25000000;42.00000000;53.25000000
PARAGUACU;2012-01-01;30.00000000;20.42000008;30.00000000;20.42000008
PARAGUAI;2012-01-01;727.00000000;113.38999939;673.00000000;104.95999908
PARAIBA DO SUL;2012-01-01;1338.00000000;105.88999939;1276.00000000;100.98000336
PARANA;2012-01-01;19223.00000000;84.88999939;17602.00000000;77.73000336
PARANAIBA;2012-01-01;8733.00000000;98.05999756;8733.00000000;98.05999756
PARANAPANEMA;2012-01-01;1114.00000000;52.15000153;1114.00000000;52.15000153
PARNAIBA;2012-01-01;137.00000000;57.25000000;137.00000000;57.25000000
SAO FRANCISCO;2012-01-01;15839.00000000;115.62999725;15468.00000000;112.91999817
TIETE;2012-01-01;1485.00000000;80.44000244;1485.00000000;80.44000244
TOCANTINS;2012-01-01;10196.00000000;79.93000031;10196.00000000;79.93000031
URUGUAI;2012-01-01;1355.00000000;57.79000092;1320.00000000;56.29999924
AMAZONAS;2012-01-02;569.00000000;82.65000153;447.00000000;64.93000031
ARAGUARI;2012-01-02;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2012-01-02;155.00000000;93.36000061;155.00000000;93.36000061
DOCE;2012-01-02;4133.00000000;247.25999451;1747.00000000;104.51000214
GRANDE;2012-01-02;9954.00000000;109.38999939;9667.00000000;106.23999786
IGUACU;2012-01-02;2271.00000000;59.00999832;2271.00000000;59.00999832
ITABAPOANA;2012-01-02;138.00000000;132.97000122;36.00000000;34.68999863
ITAJAI;2012-01-02;235.00000000;114.58000183;192.00000000;93.61000061
JACUI;2012-01-02;355.00000000;62.49000168;349.00000000;61.43999863
JEQUITINHONHA;2012-01-02;1378.00000000;127.65000153;931.00000000;86.23999786
MUCURI;2012-01-02;47.00000000;59.59000015;47.00000000;59.59000015
PARAGUACU;2012-01-02;20.00000000;13.60999966;20.00000000;13.60999966
PARAGUAI;2012-01-02;797.00000000;124.30000305;727.00000000;113.38999939
PARAIBA DO SUL;2012-01-02;1555.00000000;123.05999756;1200.00000000;94.97000122
PARANA;2012-01-02;19337.00000000;85.38999939;19337.00000000;85.38999939
PARANAIBA;2012-01-02;10075.00000000;113.12999725;10075.00000000;113.12999725
PARANAPANEMA;2012-01-02;1214.00000000;56.83000183;1213.00000000;56.77999878
PARNAIBA;2012-01-02;138.00000000;57.65999985;138.00000000;57.65999985
SAO FRANCISCO;2012-01-02;16289.00000000;118.91000366;15962.00000000;116.52999878
TIETE;2012-01-02;1555.00000000;84.23000336;1555.00000000;84.23000336
TOCANTINS;2012-01-02;10840.00000000;84.98000336;10840.00000000;84.98000336
URUGUAI;2012-01-02;1633.00000000;69.65000153;1588.00000000;67.73000336
AMAZONAS;2012-01-03;541.00000000;78.58999634;457.00000000;66.37999725
ARAGUARI;2012-01-03;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2012-01-03;124.00000000;74.69000244;124.00000000;74.69000244
DOCE;2012-01-03;5043.00000000;301.70001221;1543.00000000;92.30999756
GRANDE;2012-01-03;11339.00000000;124.61000061;10990.00000000;120.77999878
IGUACU;2012-01-03;2241.00000000;58.22999954;2241.00000000;58.22999954
ITABAPOANA;2012-01-03;217.00000000;209.08999634;37.00000000;35.65000153
ITAJAI;2012-01-03;231.00000000;112.62999725;190.00000000;92.63999939
JACUI;2012-01-03;327.00000000;57.56000137;322.00000000;56.68000031
JEQUITINHONHA;2012-01-03;1646.00000000;152.47000122;1120.00000000;103.75000000
MUCURI;2012-01-03;54.00000000;68.47000122;54.00000000;68.47000122
PARAGUACU;2012-01-03;18.00000000;12.25000000;18.00000000;12.25000000
PARAGUAI;2012-01-03;705.00000000;109.94999695;636.00000000;99.19000244
PARAIBA DO SUL;2012-01-03;1609.00000000;127.33000183;1104.00000000;87.37000275
PARANA;2012-01-03;19779.00000000;87.33999634;19779.00000000;87.33999634
PARANAIBA;2012-01-03;11749.00000000;131.91999817;11749.00000000;131.91999817
PARANAPANEMA;2012-01-03;1327.00000000;62.11999893;1325.00000000;62.02000046
PARNAIBA;2012-01-03;142.00000000;59.34000015;142.00000000;59.34000015
SAO FRANCISCO;2012-01-03;16820.00000000;122.79000092;16343.00000000;119.30999756
TIETE;2012-01-03;1735.00000000;93.98000336;1735.00000000;93.98000336
TOCANTINS;2012-01-03;12491.00000000;97.93000031;12479.00000000;97.83000183
URUGUAI;2012-01-03;1766.00000000;75.31999969;1723.00000000;73.48999786
AMAZONAS;2012-01-04;520.00000000;75.52999878;464.00000000;67.40000153
ARAGUARI;2012-01-04;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2012-01-04;107.00000000;64.44999695;107.00000000;64.44999695
DOCE;2012-01-04;5791.00000000;346.45001221;1708.00000000;102.18000031
GRANDE;2012-01-04;13236.00000000;145.46000671;12717.00000000;139.75999451
IGUACU;2012-01-04;2175.00000000;56.52000046;2175.00000000;56.52000046
ITABAPOANA;2012-01-04;315.00000000;303.51000977;35.00000000;33.72000122
ITAJAI;2012-01-04;164.00000000;79.95999908;164.00000000;79.95999908
JACUI;2012-01-04;263.00000000;46.29999924;258.00000000;45.41999817
JEQUITINHONHA;2012-01-04;1586.00000000;146.91999817;1043.00000000;96.62000275
MUCURI;2012-01-04;73.00000000;92.55000305;56.00000000;71.00000000
PARAGUACU;2012-01-04;17.00000000;11.56999969;17.00000000;11.56999969
PARAGUAI;2012-01-04;625.00000000;97.48000336;561.00000000;87.50000000
PARAIBA DO SUL;2012-01-04;1528.00000000;120.91999817;1147.00000000;90.76999664
PARANA;2012-01-04;20240.00000000;89.37999725;20240.00000000;89.37999725
PARANAIBA;2012-01-04;13001.00000000;145.97999573;13001.00000000;145.97999573
PARANAPANEMA;2012-01-04;1317.00000000;61.65000153;1312.00000000;61.41999817
PARNAIBA;2012-01-04;146.00000000;61.00999832;146.00000000;61.00999832
SAO FRANCISCO;2012-01-04;17233.00000000;125.80999756;16540.00000000;120.75000000
TIETE;2012-01-04;1794.00000000;97.18000031;1787.00000000;96.80000305
TOCANTINS;2012-01-04;14234.00000000;111.58999634;13507.00000000;105.88999939
URUGUAI;2012-01-04;1636.00000000;69.77999878;1602.00000000;68.33000183
AMAZONAS;2012-01-05;641.00000000;93.11000061;467.00000000;67.83999634
ARAGUARI;2012-01-05;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2012-01-05;101.00000000;60.84000015;101.00000000;60.84000015
DOCE;2012-01-05;5707.00000000;341.42001343;1804.00000000;107.91999817
GRANDE;2012-01-05;14595.00000000;160.39999390;13894.00000000;152.69000244
IGUACU;2012-01-05;2098.00000000;54.52000046;2098.00000000;54.52000046
ITABAPOANA;2012-01-05;377.00000000;363.25000000;28.00000000;26.97999954
ITAJAI;2012-01-05;137.00000000;66.80000305;137.00000000;66.80000305
JACUI;2012-01-05;216.00000000;38.02000046;211.00000000;37.13999939
JEQUITINHONHA;2012-01-05;1838.00000000;170.25999451;869.00000000;80.50000000
MUCURI;2012-01-05;77.00000000;97.62999725;72.00000000;91.29000092
PARAGUACU;2012-01-05;18.00000000;12.25000000;18.00000000;12.25000000
PARAGUAI;2012-01-05;529.00000000;82.51000214;491.00000000;76.58000183
PARAIBA DO SUL;2012-01-05;1329.00000000;105.18000031;1146.00000000;90.69000244
PARANA;2012-01-05;20909.00000000;92.33000183;20909.00000000;92.33000183
PARANAIBA;2012-01-05;13121.00000000;147.33000183;13121.00000000;147.33000183
PARANAPANEMA;2012-01-05;1228.00000000;57.47999954;1224.00000000;57.29999924
PARNAIBA;2012-01-05;153.00000000;63.93000031;153.00000000;63.93000031
SAO FRANCISCO;2012-01-05;17556.00000000;128.16000366;16510.00000000;120.52999878
TIETE;2012-01-05;1766.00000000;95.66000366;1731.00000000;93.76999664
