nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2009-01-01;570.00000000;112.73999786;541.00000000;107.00000000
ARAGUARI;2009-01-01;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2009-01-01;99.00000000;59.63000107;99.00000000;59.63000107
DOCE;2009-01-01;2865.00000000;190.32000732;1463.00000000;97.19000244
GRANDE;2009-01-01;13502.00000000;148.38000488;13269.00000000;145.82000732
IGUACU;2009-01-01;1277.00000000;33.18000031;1277.00000000;33.18000031
ITABAPOANA;2009-01-01;187.00000000;180.17999268;37.00000000;35.65000153
ITAJAI;2009-01-01;0E-8;0E-8;0E-8;0E-8
JACUI;2009-01-01;308.00000000;59.65000153;290.00000000;56.16999817
JEQUITINHONHA;2009-01-01;1478.00000000;136.91000366;1478.00000000;136.91000366
MUCURI;2009-01-01;62.00000000;78.61000061;62.00000000;78.61000061
PARAGUACU;2009-01-01;308.00000000;209.64999390;308.00000000;209.64999390
PARAGUAI;2009-01-01;645.00000000;100.59999847;613.00000000;95.61000061
PARAIBA DO SUL;2009-01-01;1433.00000000;113.41000366;1159.00000000;91.72000122
PARANA;2009-01-01;21512.00000000;95.00000000;21512.00000000;95.00000000
PARANAIBA;2009-01-01;9645.00000000;118.26000214;9645.00000000;118.26000214
PARANAPANEMA;2009-01-01;948.00000000;44.38000107;946.00000000;44.27999878
PARNAIBA;2009-01-01;185.00000000;77.30000305;185.00000000;77.30000305
SAO FRANCISCO;2009-01-01;11933.00000000;87.79000092;11654.00000000;85.73000336
TIETE;2009-01-01;1090.00000000;59.04000092;1090.00000000;59.04000092
TOCANTINS;2009-01-01;9760.00000000;78.76000214;9760.00000000;78.76000214
URUGUAI;2009-01-01;808.00000000;42.75000000;808.00000000;42.75000000
AMAZONAS;2009-01-02;595.00000000;117.69000244;571.00000000;112.94000244
ARAGUARI;2009-01-02;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2009-01-02;157.00000000;94.56999969;157.00000000;94.56999969
DOCE;2009-01-02;2679.00000000;177.97000122;1349.00000000;89.62000275
GRANDE;2009-01-02;13576.00000000;149.19999695;13351.00000000;146.72000122
IGUACU;2009-01-02;1414.00000000;36.74000168;1414.00000000;36.74000168
ITABAPOANA;2009-01-02;277.00000000;266.89999390;32.00000000;30.82999992
ITAJAI;2009-01-02;0E-8;0E-8;0E-8;0E-8
JACUI;2009-01-02;285.00000000;55.20000076;260.00000000;50.36000061
JEQUITINHONHA;2009-01-02;1338.00000000;123.94000244;1338.00000000;123.94000244
MUCURI;2009-01-02;54.00000000;68.47000122;54.00000000;68.47000122
PARAGUACU;2009-01-02;176.00000000;119.80000305;176.00000000;119.80000305
PARAGUAI;2009-01-02;595.00000000;92.80000305;586.00000000;91.40000153
PARAIBA DO SUL;2009-01-02;1493.00000000;118.15000153;1185.00000000;93.77999878
PARANA;2009-01-02;22390.00000000;98.87000275;22390.00000000;98.87000275
PARANAIBA;2009-01-02;8315.00000000;101.94999695;8315.00000000;101.94999695
PARANAPANEMA;2009-01-02;1080.00000000;50.56000137;1079.00000000;50.50999832
PARNAIBA;2009-01-02;163.00000000;68.11000061;163.00000000;68.11000061
SAO FRANCISCO;2009-01-02;12552.00000000;92.33999634;12271.00000000;90.26999664
TIETE;2009-01-02;1093.00000000;59.20999908;1093.00000000;59.20999908
TOCANTINS;2009-01-02;9597.00000000;77.44999695;9597.00000000;77.44999695
URUGUAI;2009-01-02;758.00000000;40.09999847;758.00000000;40.09999847
AMAZONAS;2009-01-03;596.00000000;117.87999725;580.00000000;114.72000122
ARAGUARI;2009-01-03;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2009-01-03;249.00000000;149.97999573;249.00000000;149.97999573
DOCE;2009-01-03;2719.00000000;180.63000488;1504.00000000;99.91000366
GRANDE;2009-01-03;13302.00000000;146.19000244;13076.00000000;143.69999695
IGUACU;2009-01-03;1645.00000000;42.75000000;1645.00000000;42.75000000
ITABAPOANA;2009-01-03;283.00000000;272.67999268;32.00000000;30.82999992
ITAJAI;2009-01-03;0E-8;0E-8;0E-8;0E-8
JACUI;2009-01-03;340.00000000;65.84999847;320.00000000;61.97999954
JEQUITINHONHA;2009-01-03;1194.00000000;110.59999847;1194.00000000;110.59999847
MUCURI;2009-01-03;53.00000000;67.19999695;53.00000000;67.19999695
PARAGUACU;2009-01-03;108.00000000;73.51000214;108.00000000;73.51000214
PARAGUAI;2009-01-03;569.00000000;88.73999786;569.00000000;88.73999786
PARAIBA DO SUL;2009-01-03;1431.00000000;113.25000000;1179.00000000;93.30000305
PARANA;2009-01-03;23258.00000000;102.70999908;23258.00000000;102.70999908
PARANAIBA;2009-01-03;7530.00000000;92.31999969;7530.00000000;92.31999969
PARANAPANEMA;2009-01-03;1208.00000000;56.54999924;1206.00000000;56.45000076
PARNAIBA;2009-01-03;150.00000000;62.68000031;150.00000000;62.68000031
SAO FRANCISCO;2009-01-03;13050.00000000;96.00000000;12767.00000000;93.91999817
TIETE;2009-01-03;1200.00000000;65.00000000;1197.00000000;64.83999634
TOCANTINS;2009-01-03;9518.00000000;76.80999756;9518.00000000;76.80999756
URUGUAI;2009-01-03;1435.00000000;75.91999817;1435.00000000;75.91999817
AMAZONAS;2009-01-04;559.00000000;110.55999756;553.00000000;109.37999725
ARAGUARI;2009-01-04;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2009-01-04;185.00000000;111.43000031;185.00000000;111.43000031
DOCE;2009-01-04;2849.00000000;189.25999451;1578.00000000;104.83000183
GRANDE;2009-01-04;12695.00000000;139.52000427;12493.00000000;137.30000305
IGUACU;2009-01-04;1862.00000000;48.38999939;1862.00000000;48.38999939
ITABAPOANA;2009-01-04;267.00000000;257.26000977;35.00000000;33.72000122
ITAJAI;2009-01-04;0E-8;0E-8;0E-8;0E-8
JACUI;2009-01-04;582.00000000;112.72000122;478.00000000;92.58000183
JEQUITINHONHA;2009-01-04;1113.00000000;103.09999847;1113.00000000;103.09999847
MUCURI;2009-01-04;53.00000000;67.19999695;53.00000000;67.19999695
PARAGUACU;2009-01-04;76.00000000;51.72999954;76.00000000;51.72999954
PARAGUAI;2009-01-04;549.00000000;85.62000275;547.00000000;85.30999756
PARAIBA DO SUL;2009-01-04;1358.00000000;107.47000122;1164.00000000;92.12000275
PARANA;2009-01-04;23539.00000000;103.94999695;23539.00000000;103.94999695
PARANAIBA;2009-01-04;7211.00000000;88.41000366;7211.00000000;88.41000366
PARANAPANEMA;2009-01-04;1247.00000000;58.36999893;1245.00000000;58.27999878
PARNAIBA;2009-01-04;143.00000000;59.75000000;143.00000000;59.75000000
SAO FRANCISCO;2009-01-04;13401.00000000;98.58999634;13117.00000000;96.50000000
TIETE;2009-01-04;1353.00000000;73.29000092;1348.00000000;73.01999664
TOCANTINS;2009-01-04;9548.00000000;77.05000305;9548.00000000;77.05000305
URUGUAI;2009-01-04;2965.00000000;156.86999512;2965.00000000;156.86999512
AMAZONAS;2009-01-05;547.00000000;108.19000244;542.00000000;107.19999695
ARAGUARI;2009-01-05;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2009-01-05;154.00000000;92.76000214;154.00000000;92.76000214
DOCE;2009-01-05;3080.00000000;204.61000061;1548.00000000;102.83999634
GRANDE;2009-01-05;12012.00000000;132.00999451;11791.00000000;129.58000183
IGUACU;2009-01-05;1959.00000000;50.90999985;1959.00000000;50.90999985
ITABAPOANA;2009-01-05;426.00000000;410.45999146;43.00000000;41.43000031
ITAJAI;2009-01-05;0E-8;0E-8;0E-8;0E-8
JACUI;2009-01-05;578.00000000;111.94000244;503.00000000;97.41999817
JEQUITINHONHA;2009-01-05;1350.00000000;125.05999756;1350.00000000;125.05999756
MUCURI;2009-01-05;72.00000000;91.29000092;72.00000000;91.29000092
PARAGUACU;2009-01-05;102.00000000;69.43000031;102.00000000;69.43000031
PARAGUAI;2009-01-05;534.00000000;83.27999878;522.00000000;81.41000366
PARAIBA DO SUL;2009-01-05;1324.00000000;104.77999878;1160.00000000;91.80000305
PARANA;2009-01-05;23542.00000000;103.95999908;23542.00000000;103.95999908
PARANAIBA;2009-01-05;7058.00000000;86.54000092;7058.00000000;86.54000092
PARANAPANEMA;2009-01-05;1211.00000000;56.68999863;1210.00000000;56.63999939
PARNAIBA;2009-01-05;152.00000000;63.50999832;152.00000000;63.50999832
SAO FRANCISCO;2009-01-05;13866.00000000;102.01000214;13558.00000000;99.73999786
TIETE;2009-01-05;1418.00000000;76.80999756;1398.00000000;75.73000336
TOCANTINS;2009-01-05;9662.00000000;77.97000122;9662.00000000;77.97000122
URUGUAI;2009-01-05;2538.00000000;134.27999878;2538.00000000;134.27999878
AMAZONAS;2009-01-06;525.00000000;103.83999634;519.00000000;102.65000153
ARAGUARI;2009-01-06;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2009-01-06;135.00000000;81.31999969;135.00000000;81.31999969
DOCE;2009-01-06;3848.00000000;255.63000488;1673.00000000;111.13999939
GRANDE;2009-01-06;11355.00000000;124.79000092;11173.00000000;122.79000092
IGUACU;2009-01-06;1949.00000000;50.65000153;1949.00000000;50.65000153
ITABAPOANA;2009-01-06;620.00000000;597.39001465;40.00000000;38.54000092
ITAJAI;2009-01-06;0E-8;0E-8;0E-8;0E-8
JACUI;2009-01-06;457.00000000;88.51000214;438.00000000;84.83000183
