nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2001-01-01;26.00000000;115.37000275;16.00000000;71.00000000
ARAGUARI;2001-01-01;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2001-01-01;109.00000000;66.44000244;109.00000000;66.44000244
DOCE;2001-01-01;670.00000000;76.70999908;513.00000000;58.72999954
GRANDE;2001-01-01;7300.00000000;81.62999725;7300.00000000;81.62999725
IGUACU;2001-01-01;5381.00000000;149.13000488;5381.00000000;149.13000488
ITABAPOANA;2001-01-01;139.00000000;132.00999451;92.00000000;87.37000275
ITAJAI;2001-01-01;0E-8;0E-8;0E-8;0E-8
JACUI;2001-01-01;460.00000000;150.97000122;460.00000000;150.97000122
JEQUITINHONHA;2001-01-01;0E-8;0E-8;0E-8;0E-8
MUCURI;2001-01-01;0E-8;0E-8;0E-8;0E-8
OUTRAS - SUL;2001-01-01;0E-8;0E-8;0E-8;0E-8
OUTRAS- SUDESTE;2001-01-01;0E-8;0E-8;0E-8;0E-8
PARAGUACU;2001-01-01;0E-8;0E-8;0E-8;0E-8
PARAGUAI;2001-01-01;0E-8;0E-8;0E-8;0E-8
PARAIBA DO SUL;2001-01-01;1236.00000000;103.48000336;1235.00000000;103.40000153
PARANA;2001-01-01;19612.00000000;95.19999695;18708.00000000;90.80999756
PARANAIBA;2001-01-01;4618.00000000;61.65000153;4618.00000000;61.65000153
PARANAPANEMA;2001-01-01;2267.00000000;116.16999817;2267.00000000;116.16999817
PARNAIBA;2001-01-01;158.00000000;65.69000244;158.00000000;65.69000244
SAO FRANCISCO;2001-01-01;13620.00000000;99.73000336;13533.00000000;99.08999634
TIETE;2001-01-01;2052.00000000;113.30000305;1586.00000000;87.56999969
TOCANTINS;2001-01-01;11114.00000000;114.16000366;10003.00000000;102.75000000
URUGUAI;2001-01-01;1753.00000000;246.83999634;1753.00000000;246.83999634
AMAZONAS;2001-01-02;24.00000000;106.50000000;14.00000000;62.11999893
ARAGUARI;2001-01-02;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2001-01-02;96.00000000;58.50999832;96.00000000;58.50999832
DOCE;2001-01-02;984.00000000;112.66000366;517.00000000;59.18999863
GRANDE;2001-01-02;7189.00000000;80.38999939;7189.00000000;80.38999939
IGUACU;2001-01-02;4834.00000000;133.97000122;4834.00000000;133.97000122
ITABAPOANA;2001-01-02;254.00000000;241.22999573;143.00000000;135.80999756
ITAJAI;2001-01-02;0E-8;0E-8;0E-8;0E-8
JACUI;2001-01-02;392.00000000;128.64999390;392.00000000;128.64999390
JEQUITINHONHA;2001-01-02;0E-8;0E-8;0E-8;0E-8
MUCURI;2001-01-02;0E-8;0E-8;0E-8;0E-8
OUTRAS - SUL;2001-01-02;0E-8;0E-8;0E-8;0E-8
OUTRAS- SUDESTE;2001-01-02;0E-8;0E-8;0E-8;0E-8
PARAGUACU;2001-01-02;0E-8;0E-8;0E-8;0E-8
PARAGUAI;2001-01-02;0E-8;0E-8;0E-8;0E-8
PARAIBA DO SUL;2001-01-02;1233.00000000;103.23000336;1172.00000000;98.12999725
PARANA;2001-01-02;20303.00000000;98.55000305;20303.00000000;98.55000305
PARANAIBA;2001-01-02;5543.00000000;74.00000000;5543.00000000;74.00000000
PARANAPANEMA;2001-01-02;2129.00000000;109.09999847;2129.00000000;109.09999847
PARNAIBA;2001-01-02;159.00000000;66.09999847;159.00000000;66.09999847
SAO FRANCISCO;2001-01-02;13741.00000000;100.61000061;13655.00000000;99.98999786
TIETE;2001-01-02;2015.00000000;111.26000214;1487.00000000;82.09999847
TOCANTINS;2001-01-02;10797.00000000;110.91000366;9308.00000000;95.61000061
URUGUAI;2001-01-02;1408.00000000;198.25999451;1408.00000000;198.25999451
AMAZONAS;2001-01-03;24.00000000;106.50000000;17.00000000;75.44000244
ARAGUARI;2001-01-03;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2001-01-03;85.00000000;51.81000137;85.00000000;51.81000137
DOCE;2001-01-03;1221.00000000;139.78999329;524.00000000;59.99000168
GRANDE;2001-01-03;7018.00000000;78.48000336;7018.00000000;78.48000336
IGUACU;2001-01-03;4325.00000000;119.86000061;4325.00000000;119.86000061
ITABAPOANA;2001-01-03;367.00000000;348.54998779;150.00000000;142.46000671
ITAJAI;2001-01-03;0E-8;0E-8;0E-8;0E-8
JACUI;2001-01-03;361.00000000;118.48000336;361.00000000;118.48000336
JEQUITINHONHA;2001-01-03;0E-8;0E-8;0E-8;0E-8
MUCURI;2001-01-03;0E-8;0E-8;0E-8;0E-8
OUTRAS - SUL;2001-01-03;0E-8;0E-8;0E-8;0E-8
OUTRAS- SUDESTE;2001-01-03;0E-8;0E-8;0E-8;0E-8
PARAGUACU;2001-01-03;0E-8;0E-8;0E-8;0E-8
PARAGUAI;2001-01-03;0E-8;0E-8;0E-8;0E-8
PARAIBA DO SUL;2001-01-03;1229.00000000;102.90000153;1217.00000000;101.88999939
PARANA;2001-01-03;20431.00000000;99.16999817;20431.00000000;99.16999817
PARANAIBA;2001-01-03;6893.00000000;92.01999664;6893.00000000;92.01999664
PARANAPANEMA;2001-01-03;1925.00000000;98.63999939;1925.00000000;98.63999939
PARNAIBA;2001-01-03;161.00000000;66.93000031;161.00000000;66.93000031
SAO FRANCISCO;2001-01-03;13823.00000000;101.22000122;13733.00000000;100.55999756
TIETE;2001-01-03;1852.00000000;102.26000214;1473.00000000;81.33000183
TOCANTINS;2001-01-03;10467.00000000;107.51999664;8621.00000000;88.55000305
URUGUAI;2001-01-03;1164.00000000;163.89999390;1164.00000000;163.89999390
AMAZONAS;2001-01-04;21.00000000;93.19000244;21.00000000;93.19000244
ARAGUARI;2001-01-04;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2001-01-04;76.00000000;46.31999969;76.00000000;46.31999969
DOCE;2001-01-04;1188.00000000;136.02000427;680.00000000;77.84999847
GRANDE;2001-01-04;6775.00000000;75.76000214;6775.00000000;75.76000214
IGUACU;2001-01-04;3939.00000000;109.16999817;3939.00000000;109.16999817
ITABAPOANA;2001-01-04;341.00000000;323.85998535;36.00000000;34.18999863
ITAJAI;2001-01-04;0E-8;0E-8;0E-8;0E-8
JACUI;2001-01-04;425.00000000;139.47999573;425.00000000;139.47999573
JEQUITINHONHA;2001-01-04;0E-8;0E-8;0E-8;0E-8
MUCURI;2001-01-04;0E-8;0E-8;0E-8;0E-8
OUTRAS - SUL;2001-01-04;0E-8;0E-8;0E-8;0E-8
OUTRAS- SUDESTE;2001-01-04;0E-8;0E-8;0E-8;0E-8
PARAGUACU;2001-01-04;0E-8;0E-8;0E-8;0E-8
PARAGUAI;2001-01-04;0E-8;0E-8;0E-8;0E-8
PARAIBA DO SUL;2001-01-04;1235.00000000;103.40000153;1147.00000000;96.02999878
PARANA;2001-01-04;20407.00000000;99.05999756;20407.00000000;99.05999756
PARANAIBA;2001-01-04;7442.00000000;99.34999847;7442.00000000;99.34999847
PARANAPANEMA;2001-01-04;1727.00000000;88.50000000;1727.00000000;88.50000000
PARNAIBA;2001-01-04;164.00000000;68.18000031;164.00000000;68.18000031
SAO FRANCISCO;2001-01-04;13807.00000000;101.09999847;13711.00000000;100.40000153
TIETE;2001-01-04;1690.00000000;93.30999756;1484.00000000;81.94000244
