nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2024-01-01;6468.72607422;36.91059875;6381.17285156;36.4109993
ARAGUARI;2024-01-01;160.49499512;61.58610153;160.49499512;61.58610153
CAPIVARI;2024-01-01;111.70700073;69.26719666;111.70700073;69.26719666
DOCE;2024-01-01;728.97601318;43.09069824;716.79797363;42.37080002
GRANDE;2024-01-01;2946.0949707;32.58050156;2946.0949707;32.58050156
IGUACU;2024-01-01;2570.3840332;67.80290222;2570.3840332;67.80290222
ITABAPOANA;2024-01-01;45.85800171;44.4756012;45.85800171;44.4756012
ITAJAI;2024-01-01;88.01100159;43.70569992;88.01100159;43.70569992
JACUI;2024-01-01;730.53900146;133.46609497;568.2199707;103.811203
JEQUITINHONHA;2024-01-01;177.82400513;17.17499924;174.24899292;16.82970047
MUCURI;2024-01-01;4.86800003;6.53420019;1.722;2.31139994
PARAGUACU;2024-01-01;1.33700001;0.91780001;1.33700001;0.91780001
PARAGUAI;2024-01-01;424.47399902;67.36260223;400.1579895;63.50370026
PARAIBA DO SUL;2024-01-01;937.40997314;56.08549881;937.40997314;56.08549881
PARANA;2024-01-01;10188.40917969;45.65829849;9756.00683594;43.72060013
PARANAIBA;2024-01-01;2852.06396484;31.9817009;2838.24511719;31.82670021
PARANAPANEMA;2024-01-01;879.17102051;36.80260086;868.14697266;36.34120178
PARNAIBA;2024-01-01;116.42199707;48.20660019;116.42199707;48.20660019
SANTA MARIA VIT;2024-01-01;15.46899986;36.60089874;15.46899986;36.60089874
SAO FRANCISCO;2024-01-01;2950.01293945;22.03000069;2940.31005859;21.95759964
TIETE;2024-01-01;591.49401855;31.93260002;581.19299316;31.37649918
TOCANTINS;2024-01-01;4257.30615234;30.17869949;4257.30615234;30.17869949
URUGUAI;2024-01-01;2505.91088867;99.27279663;2412.25292969;95.5625
AMAZONAS;2024-01-02;6486.24316406;37.01050186;6455.83203125;36.8370018
ARAGUARI;2024-01-02;164.27099609;63.03499985;164.27099609;63.03499985
CAPIVARI;2024-01-02;117.74299622;73.01000214;117.74299622;73.01000214
DOCE;2024-01-02;1184.64501953;70.02580261;990.74700928;58.56430054
GRANDE;2024-01-02;2928.77099609;32.38890076;2928.77099609;32.38890076
IGUACU;2024-01-02;2428.6340332;64.06369781;2428.6340332;64.06369781
ITABAPOANA;2024-01-02;54.44499969;52.80369949;54.44499969;52.80369949
ITAJAI;2024-01-02;91.18599701;45.28239822;91.18599701;45.28239822
JACUI;2024-01-02;768.89300537;140.47320557;579.07800293;105.79489899
JEQUITINHONHA;2024-01-02;233.97099304;22.59790039;230.39599609;22.25259972
MUCURI;2024-01-02;4.30200005;5.77449989;1.15499997;1.5503
PARAGUACU;2024-01-02;1.02400005;0.70300001;1.02400005;0.70300001
PARAGUAI;2024-01-02;442.00500488;70.1446991;417.68899536;66.28579712
PARAIBA DO SUL;2024-01-02;939.78399658;56.22750092;939.78399658;56.22750092
PARANA;2024-01-02;10467.02832031;46.9068985;10061.44628906;45.08940125
PARANAIBA;2024-01-02;3150.15893555;35.32429886;3139.93701172;35.20970154
PARANAPANEMA;2024-01-02;841.11401367;35.20959854;825.80603027;34.56880188
PARNAIBA;2024-01-02;118.98400116;49.26750183;118.98400116;49.26750183
SANTA MARIA VIT;2024-01-02;16.71500015;39.54899979;16.71500015;39.54899979
SAO FRANCISCO;2024-01-02;3390.10400391;25.31649971;3385.08496094;25.27910042
TIETE;2024-01-02;598.81799316;32.32799911;589.22802734;31.81030083
TOCANTINS;2024-01-02;4573.01220703;32.41659927;4573.01220703;32.41659927
URUGUAI;2024-01-02;2403.76806641;95.22640228;2331.18408203;92.35089874
AMAZONAS;2024-01-03;6534.36181641;37.28509903;6509.1640625;37.1413002
ARAGUARI;2024-01-03;163.11799622;62.59260178;163.11799622;62.59260178
CAPIVARI;2024-01-03;125.8769989;78.05380249;125.8769989;78.05380249
DOCE;2024-01-03;1118.87304688;66.13790131;1038.34204102;61.37770081
GRANDE;2024-01-03;2965.36889648;32.79370117;2942.49389648;32.54069901
IGUACU;2024-01-03;2397.20800781;63.23479843;2397.20800781;63.23479843
ITABAPOANA;2024-01-03;67.86599731;65.82009888;61.10400009;59.26200104
ITAJAI;2024-01-03;124.38700104;61.76979828;124.38700104;61.76979828
JACUI;2024-01-03;866.79699707;158.35980225;672.24401855;122.81590271
JEQUITINHONHA;2024-01-03;453.0289917;43.75540161;432.29400635;41.75270081
MUCURI;2024-01-03;4.20699978;5.64699984;1.06099999;1.42420006
PARAGUACU;2024-01-03;1.03400004;0.7098;1.03400004;0.7098
PARAGUAI;2024-01-03;450.6499939;71.51660156;426.33401489;67.65779877
PARAIBA DO SUL;2024-01-03;989.70898438;59.21459961;989.70898438;59.21459961
PARANA;2024-01-03;10724.54199219;48.06100082;10548.99902344;47.27429962
PARANAIBA;2024-01-03;3759.42089844;42.15629959;3752.33105469;42.0768013
PARANAPANEMA;2024-01-03;818.40301514;34.25889969;785.565979;32.88430023
PARNAIBA;2024-01-03;136.70100403;56.60350037;136.70100403;56.60350037
SANTA MARIA VIT;2024-01-03;26.20400047;62.00080109;26.20400047;62.00080109
SAO FRANCISCO;2024-01-03;3756.33007813;28.05139923;3756.33007813;28.05139923
TIETE;2024-01-03;628.96002197;33.9552002;618.8369751;33.40869904
TOCANTINS;2024-01-03;4944.82714844;35.0522995;4944.82714844;35.0522995
URUGUAI;2024-01-03;2458.86010742;97.4088974;2397.27392578;94.96910095
AMAZONAS;2024-01-04;6600.91113281;37.66479874;6570.5;37.49129868
ARAGUARI;2024-01-04;146.89199829;56.36619949;146.89199829;56.36619949
CAPIVARI;2024-01-04;128.10099792;79.43280029;128.10099792;79.43280029
DOCE;2024-01-04;1410.68200684;83.38710022;1306.38000488;77.22170258
GRANDE;2024-01-04;3057.27905273;33.81010056;3034.7980957;33.56150055
IGUACU;2024-01-04;2432.52905273;64.16649628;2432.52905273;64.16649628
ITABAPOANA;2024-01-04;116.02200317;112.5243988;63.6230011;61.70500183
ITAJAI;2024-01-04;168.54200745;83.69680023;168.54200745;83.69680023
JACUI;2024-01-04;843.95697021;154.18699646;641.75799561;117.24620056
JEQUITINHONHA;2024-01-04;575.66998291;55.6004982;574.95501709;55.53150177
MUCURI;2024-01-04;6.14499998;8.2482996;2.99799991;4.02419996
PARAGUACU;2024-01-04;1.67799997;1.15190005;1.67799997;1.15190005
PARAGUAI;2024-01-04;446.60101318;70.87409973;389.78100586;61.85689926
PARAIBA DO SUL;2024-01-04;1302.9510498;77.9559021;1286.40002441;76.96569824
PARANA;2024-01-04;10664.88769531;47.79359818;10503.92480469;47.07229996
PARANAIBA;2024-01-04;4815.22216797;53.99560165;4779.69677734;53.59719849
PARANAPANEMA;2024-01-04;789.45800781;33.04719925;766.11401367;32.06999969
PARNAIBA;2024-01-04;169.647995;70.2457962;169.647995;70.2457962
SANTA MARIA VIT;2024-01-04;28.54899979;67.54920197;28.54899979;67.54920197
SAO FRANCISCO;2024-01-04;3925.93701172;29.31800079;3925.93701172;29.31800079
TIETE;2024-01-04;675.45001221;36.46509933;666.57000732;35.9856987
TOCANTINS;2024-01-04;5616.67919922;39.81480026;5616.67919922;39.81480026
URUGUAI;2024-01-04;2841.58203125;112.57060242;2756.89404297;109.21559906
AMAZONAS;2024-01-05;6670.14892578;38.05989838;6633.65478516;37.85160065
ARAGUARI;2024-01-05;133.51100159;51.23160172;133.51100159;51.23160172
CAPIVARI;2024-01-05;127.27500153;78.92060089;127.27500153;78.92060089
DOCE;2024-01-05;1842.30700684;108.90100098;1491.34997559;88.15550232
GRANDE;2024-01-05;3291.95800781;36.40539932;3291.95800781;36.40539932
IGUACU;2024-01-05;2415.21411133;63.70970154;2415.21411133;63.70970154
ITABAPOANA;2024-01-05;214.07600403;207.62249756;31.52400017;30.57369995
ITAJAI;2024-01-05;141.48100281;70.25849915;141.48100281;70.25849915
JACUI;2024-01-05;801.98901367;146.5196991;612.65002441;111.92829895
JEQUITINHONHA;2024-01-05;737.71099854;71.25109863;737.71099854;71.25109863
MUCURI;2024-01-05;7.41699982;9.95569992;4.26999998;5.73150015
PARAGUACU;2024-01-05;3.27200007;2.24620008;3.27200007;2.24620008
PARAGUAI;2024-01-05;448.13000488;71.11669922;401.70700073;63.74959946
PARAIBA DO SUL;2024-01-05;1551.95996094;92.85420227;1337.43200684;80.01889801
PARANA;2024-01-05;10518.28222656;47.13660049;10308.0;46.19430161
PARANAIBA;2024-01-05;5907.62890625;66.24530029;5885.95019531;66.00219727
PARANAPANEMA;2024-01-05;770.40301514;32.24959946;743.3380127;31.11660004
PARNAIBA;2024-01-05;178.78999329;74.03119659;178.78999329;74.03119659
SANTA MARIA VIT;2024-01-05;51.33000183;121.45089722;49.2159996;116.4489975
SAO FRANCISCO;2024-01-05;3976.51293945;29.69569969;3976.51293945;29.69569969
TIETE;2024-01-05;707.91400146;38.21770096;699.03399658;37.73830032
TOCANTINS;2024-01-05;6685.08789063;47.38850021;6491.68310547;46.01750183
URUGUAI;2024-01-05;3011.18603516;119.28949738;2924.77001953;115.8660965
AMAZONAS;2024-01-06;6903.38916016;39.39070129;6859.07519531;39.13790131
ARAGUARI;2024-01-06;126.48100281;48.5340004;121.63500214;46.67449951
CAPIVARI;2024-01-06;121.93699646;75.61070251;121.93699646;75.61070251
DOCE;2024-01-06;1837.77197266;108.63289642;1513.77099609;89.48079681
GRANDE;2024-01-06;3659.2019043;40.46670151;3659.2019043;40.46670151
IGUACU;2024-01-06;2346.76806641;61.90420151;2346.76806641;61.90420151
ITABAPOANA;2024-01-06;245.53300476;238.13119507;41.00699997;39.77080154
ITAJAI;2024-01-06;113.16699982;56.19800186;113.16699982;56.19800186
JACUI;2024-01-06;768.84301758;140.46409607;589.5380249;107.7059021
JEQUITINHONHA;2024-01-06;957.16900635;92.44719696;808.44897461;78.08329773
MUCURI;2024-01-06;10.5;14.09389973;7.35400009;9.87110043
PARAGUACU;2024-01-06;4.86499977;3.33979988;4.86499977;3.33979988
PARAGUAI;2024-01-06;439.30801392;69.71669769;414.99200439;65.85780334
PARAIBA DO SUL;2024-01-06;1511.69104004;90.44490051;1368.60998535;81.88430023
PARANA;2024-01-06;10531.203125;47.19449997;10529.36132813;47.18629837
PARANAIBA;2024-01-06;6517.21923828;73.0809021;6514.42675781;73.04959869
PARANAPANEMA;2024-01-06;740.86499023;31.01309967;732.04797363;30.6439991
PARNAIBA;2024-01-06;164.46800232;68.10089874;164.46800232;68.10089874
SANTA MARIA VIT;2024-01-06;59.7820015;141.44900513;53.44300079;126.45040131
SAO FRANCISCO;2024-01-06;3913.98608398;29.22879982;3913.98608398;29.22879982
TIETE;2024-01-06;702.22302246;37.91040039;693.34301758;37.43099976
TOCANTINS;2024-01-06;7541.27587891;53.45769882;7196.88623047;51.01639938
URUGUAI;2024-01-06;2945.46606445;116.68599701;2893.38598633;114.62280273
AMAZONAS;2024-01-07;7273.11621094;41.50040054;6866.36523438;39.17950058
ARAGUARI;2024-01-07;147.59399414;56.63560104;141.21000671;54.18590164
CAPIVARI;2024-01-07;119.26799774;73.95570374;119.26799774;73.95570374
DOCE;2024-01-07;1576.8659668;93.21050262;1274.56298828;75.34100342
GRANDE;2024-01-07;4011.16503906;44.35900116;4011.16503906;44.35900116
IGUACU;2024-01-07;2253.12109375;59.43399811;2219.54492188;58.5483017
ITABAPOANA;2024-01-07;181.08200073;175.62309265;62.76100159;60.86899948
ITAJAI;2024-01-07;97.39600372;48.36619949;97.39600372;48.36619949
JACUI;2024-01-07;669.66900635;122.34539795;560.63201904;102.42489624
