nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2020-01-01;13441.50000000;77.76969910;12430.90722656;71.92259979
ARAGUARI;2020-01-01;390.39199829;148.95460510;337.26300049;128.68319702
CAPIVARI;2020-01-01;75.22799683;46.12649918;75.22799683;46.12649918
DOCE;2020-01-01;283.17700195;17.01969910;264.10598755;15.87349987
GRANDE;2020-01-01;3474.34008789;38.22050095;3474.34008789;38.22050095
IGUACU;2020-01-01;1365.18200684;35.42539978;1365.18200684;35.42539978
ITABAPOANA;2020-01-01;54.14899826;53.20690155;50.77600098;49.89260101
ITAJAI;2020-01-01;30.43600082;14.78059959;30.43600082;14.78059959
JACUI;2020-01-01;208.91299438;37.06380081;133.50500488;23.68549919
JEQUITINHONHA;2020-01-01;80.51799774;7.67129993;65.89199829;6.27780008
MUCURI;2020-01-01;3.43700004;4.55609989;0E-8;0E-8
PARAGUACU;2020-01-01;1.85800004;1.28410006;1.85800004;1.28410006
PARAGUAI;2020-01-01;439.78399658;69.23639679;411.12799072;64.72499847
PARAIBA DO SUL;2020-01-01;702.98498535;43.60800171;702.98498535;43.60800171
PARANA;2020-01-01;14519.08886719;64.75060272;14517.25585938;64.74240112
PARANAIBA;2020-01-01;2904.89794922;32.40060043;2891.55810547;32.25180054
PARANAPANEMA;2020-01-01;970.21899414;40.13069916;907.92901611;37.55419922
PARNAIBA;2020-01-01;94.37599945;39.31919861;94.37599945;39.31919861
SAO FRANCISCO;2020-01-01;5400.04980469;40.10940170;5392.64404297;40.05440140
TIETE;2020-01-01;833.48101807;44.86090088;829.05798340;44.62289810
TOCANTINS;2020-01-01;3505.87109375;25.16099930;3505.87109375;25.16099930
URUGUAI;2020-01-01;778.36700439;31.56920052;703.22998047;28.52179909
AMAZONAS;2020-01-02;13824.52441406;79.98580170;13508.27246094;78.15599823
ARAGUARI;2020-01-02;400.78500366;152.92010498;322.16400146;122.92220306
CAPIVARI;2020-01-02;79.05699921;48.47430038;79.05699921;48.47430038
DOCE;2020-01-02;296.58499146;17.82559967;272.12399292;16.35540009
GRANDE;2020-01-02;3308.62695313;36.39749908;3308.62695313;36.39749908
IGUACU;2020-01-02;1330.86499023;34.53490067;1330.86499023;34.53490067
ITABAPOANA;2020-01-02;55.16199875;54.20230103;51.78799820;50.88700104
ITAJAI;2020-01-02;37.56800079;18.24410057;37.56800079;18.24410057
JACUI;2020-01-02;195.81700134;34.74039841;166.10800171;29.46969986
JEQUITINHONHA;2020-01-02;88.70300293;8.45119953;60.77600098;5.79040003
MUCURI;2020-01-02;3.46399999;4.59189987;0E-8;0E-8
PARAGUACU;2020-01-02;1.85800004;1.28410006;1.85800004;1.28410006
PARAGUAI;2020-01-02;435.64801025;68.58529663;406.99200439;64.07389832
PARAIBA DO SUL;2020-01-02;786.78698730;48.80640030;785.20697021;48.70840073
PARANA;2020-01-02;13909.04980469;62.02999878;13907.21679688;62.02180099
PARANAIBA;2020-01-02;2889.88891602;32.23320007;2885.26489258;32.18159866
PARANAPANEMA;2020-01-02;943.74700928;39.03570175;885.51800537;36.62720108
PARNAIBA;2020-01-02;99.74700165;41.55690002;99.74700165;41.55690002
SAO FRANCISCO;2020-01-02;5361.52783203;39.82329941;5361.52783203;39.82329941
TIETE;2020-01-02;1346.72497559;72.48560333;1342.30200195;72.24749756
TOCANTINS;2020-01-02;3723.10205078;26.71999931;3723.10205078;26.71999931
URUGUAI;2020-01-02;761.78100586;30.89649963;675.58599854;27.40060043
AMAZONAS;2020-01-03;14251.98535156;82.45899963;13809.07421875;79.89640045
ARAGUARI;2020-01-03;393.82800293;150.26570129;329.28100586;125.63770294
CAPIVARI;2020-01-03;83.97000122;51.48669815;83.97000122;51.48669815
DOCE;2020-01-03;320.34298706;19.25349998;293.07101440;17.61440086
GRANDE;2020-01-03;3333.61596680;36.67240143;3333.61596680;36.67240143
IGUACU;2020-01-03;1356.64904785;35.20389938;1356.64904785;35.20389938
ITABAPOANA;2020-01-03;50.96099854;50.07429886;49.27399826;48.41669846
ITAJAI;2020-01-03;46.80400085;22.72940063;46.80400085;22.72940063
JACUI;2020-01-03;179.65299988;31.87269974;152.59500122;27.07229996
JEQUITINHONHA;2020-01-03;95.76799774;9.12430000;67.83999634;6.46339989
MUCURI;2020-01-03;3.94600010;5.23080015;0.37500000;0.49710000
PARAGUACU;2020-01-03;3.09400010;2.13829994;3.09400010;2.13829994
PARAGUAI;2020-01-03;432.91500854;68.15499878;404.25900269;63.64360046
PARAIBA DO SUL;2020-01-03;1071.74804688;66.48329926;1058.97399902;65.69090271
PARANA;2020-01-03;13556.30566406;60.45690155;13554.47265625;60.44869995
PARANAIBA;2020-01-03;3065.95288086;34.19689941;3063.46289063;34.16920090
PARANAPANEMA;2020-01-03;944.75097656;39.07730103;881.67901611;36.46849823
PARNAIBA;2020-01-03;119.09999847;49.61980057;119.09999847;49.61980057
SAO FRANCISCO;2020-01-03;5336.11816406;39.63449860;5336.11816406;39.63449860
TIETE;2020-01-03;1193.55798340;64.24160004;1181.37902832;63.58599854
TOCANTINS;2020-01-03;4022.32690430;28.86750031;4022.32690430;28.86750031
URUGUAI;2020-01-03;777.93701172;31.55179977;708.20697021;28.72369957
AMAZONAS;2020-01-04;14819.49121094;85.74250031;14217.42382813;82.25900269
ARAGUARI;2020-01-04;371.72299194;141.83149719;333.45999146;127.23220062
CAPIVARI;2020-01-04;87.16000366;53.44269943;87.16000366;53.44269943
DOCE;2020-01-04;387.16101074;23.26950073;343.58200073;20.65019989
GRANDE;2020-01-04;3557.37695313;39.13399887;3557.37695313;39.13399887
IGUACU;2020-01-04;1463.45300293;37.97539902;1463.45300293;37.97539902
ITABAPOANA;2020-01-04;65.88999939;64.74359894;8.53600025;8.38749981
ITAJAI;2020-01-04;45.60900116;22.14900017;45.60900116;22.14900017
JACUI;2020-01-04;169.80400085;30.12540054;144.36199951;25.61160088
JEQUITINHONHA;2020-01-04;109.66899872;10.44869995;86.27300262;8.21959972
MUCURI;2020-01-04;4.50899982;5.97720003;0.93699998;1.24210000
PARAGUACU;2020-01-04;5.57499981;3.85290003;5.57499981;3.85290003
PARAGUAI;2020-01-04;430.01901245;67.69909668;401.36300659;63.18769836
PARAIBA DO SUL;2020-01-04;1212.81896973;75.23429871;1182.00903320;73.32309723
PARANA;2020-01-04;13336.63085938;59.47719955;13333.88085938;59.46490097
PARANAIBA;2020-01-04;3416.53808594;38.10729980;3412.98095703;38.06760025
PARANAPANEMA;2020-01-04;998.43902588;41.29790115;938.21600342;38.80699921
PARNAIBA;2020-01-04;126.72499847;52.79660034;126.72499847;52.79660034
SAO FRANCISCO;2020-01-04;5367.27099609;39.86589813;5367.27099609;39.86589813
TIETE;2020-01-04;1217.27502441;65.51809692;1186.05395508;63.83769989
