nom_bacia;ena_data;ena_bruta_bacia_mwmed;ena_bruta_bacia_percentualmlt;ena_armazenavel_bacia_mwmed;ena_armazenavel_bacia_percentualmlt
AMAZONAS;2002-01-01;17.00000000;75.44000244;17.00000000;75.44000244
ARAGUARI;2002-01-01;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2002-01-01;101.00000000;61.56000137;101.00000000;61.56000137
DOCE;2002-01-01;2655.00000000;264.76000977;745.00000000;74.29000092
GRANDE;2002-01-01;8484.00000000;94.87000275;8484.00000000;94.87000275
IGUACU;2002-01-01;2362.00000000;65.45999908;2362.00000000;65.45999908
ITABAPOANA;2002-01-01;121.00000000;114.91999817;67.00000000;63.63000107
ITAJAI;2002-01-01;0E-8;0E-8;0E-8;0E-8
JACUI;2002-01-01;210.00000000;55.90000153;210.00000000;55.90000153
JEQUITINHONHA;2002-01-01;0E-8;0E-8;0E-8;0E-8
MUCURI;2002-01-01;0E-8;0E-8;0E-8;0E-8
OUTRAS- SUDESTE;2002-01-01;0E-8;0E-8;0E-8;0E-8
PARAGUACU;2002-01-01;0E-8;0E-8;0E-8;0E-8
PARAGUAI;2002-01-01;201.00000000;129.03999329;201.00000000;129.03999329
PARAIBA DO SUL;2002-01-01;1304.00000000;109.18000031;1177.00000000;98.54000092
PARANA;2002-01-01;26930.00000000;119.52999878;19092.00000000;84.73999786
PARANAIBA;2002-01-01;10563.00000000;141.02000427;10563.00000000;141.02000427
PARANAPANEMA;2002-01-01;1870.00000000;95.81999969;1469.00000000;75.27999878
PARNAIBA;2002-01-01;203.00000000;84.38999939;203.00000000;84.38999939
SAO FRANCISCO;2002-01-01;11008.00000000;80.59999847;11008.00000000;80.59999847
TIETE;2002-01-01;1385.00000000;76.47000122;1300.00000000;71.77999878
TOCANTINS;2002-01-01;10545.00000000;108.31999969;10545.00000000;108.31999969
URUGUAI;2002-01-01;397.00000000;55.90000153;397.00000000;55.90000153
AMAZONAS;2002-01-02;18.00000000;79.87000275;18.00000000;79.87000275
ARAGUARI;2002-01-02;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2002-01-02;147.00000000;89.59999847;147.00000000;89.59999847
DOCE;2002-01-02;1982.00000000;197.64999390;711.00000000;70.90000153
GRANDE;2002-01-02;8682.00000000;97.08000183;8682.00000000;97.08000183
IGUACU;2002-01-02;2178.00000000;60.36000061;2178.00000000;60.36000061
ITABAPOANA;2002-01-02;142.00000000;134.86000061;63.00000000;59.83000183
ITAJAI;2002-01-02;0E-8;0E-8;0E-8;0E-8
JACUI;2002-01-02;202.00000000;53.77000046;202.00000000;53.77000046
JEQUITINHONHA;2002-01-02;0E-8;0E-8;0E-8;0E-8
MUCURI;2002-01-02;0E-8;0E-8;0E-8;0E-8
OUTRAS- SUDESTE;2002-01-02;0E-8;0E-8;0E-8;0E-8
PARAGUACU;2002-01-02;0E-8;0E-8;0E-8;0E-8
PARAGUAI;2002-01-02;288.00000000;184.88999939;288.00000000;184.88999939
PARAIBA DO SUL;2002-01-02;1248.00000000;104.48999786;1200.00000000;100.47000122
PARANA;2002-01-02;26797.00000000;118.94000244;22735.00000000;100.91000366
PARANAIBA;2002-01-02;9975.00000000;133.16999817;9975.00000000;133.16999817
PARANAPANEMA;2002-01-02;1741.00000000;89.20999908;1413.00000000;72.41000366
PARNAIBA;2002-01-02;268.00000000;111.41999817;268.00000000;111.41999817
SAO FRANCISCO;2002-01-02;11408.00000000;83.52999878;11408.00000000;83.52999878
TIETE;2002-01-02;1449.00000000;80.01000214;1329.00000000;73.37999725
TOCANTINS;2002-01-02;11115.00000000;114.16999817;11115.00000000;114.16999817
URUGUAI;2002-01-02;412.00000000;58.00999832;412.00000000;58.00999832
AMAZONAS;2002-01-03;19.00000000;84.30999756;19.00000000;84.30999756
ARAGUARI;2002-01-03;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2002-01-03;140.00000000;85.33000183;140.00000000;85.33000183
DOCE;2002-01-03;1688.00000000;168.33000183;555.00000000;55.34000015
GRANDE;2002-01-03;8522.00000000;95.29000092;8522.00000000;95.29000092
IGUACU;2002-01-03;2135.00000000;59.16999817;2135.00000000;59.16999817
ITABAPOANA;2002-01-03;144.00000000;136.75999451;57.00000000;54.13000107
ITAJAI;2002-01-03;0E-8;0E-8;0E-8;0E-8
JACUI;2002-01-03;193.00000000;51.36999893;193.00000000;51.36999893
JEQUITINHONHA;2002-01-03;0E-8;0E-8;0E-8;0E-8
MUCURI;2002-01-03;0E-8;0E-8;0E-8;0E-8
OUTRAS- SUDESTE;2002-01-03;0E-8;0E-8;0E-8;0E-8
PARAGUACU;2002-01-03;0E-8;0E-8;0E-8;0E-8
PARAGUAI;2002-01-03;246.00000000;157.92999268;246.00000000;157.92999268
PARAIBA DO SUL;2002-01-03;1205.00000000;100.88999939;1197.00000000;100.22000122
PARANA;2002-01-03;27617.00000000;122.58000183;23397.00000000;103.84999847
PARANAIBA;2002-01-03;9247.00000000;123.44999695;9052.00000000;120.84999847
PARANAPANEMA;2002-01-03;1589.00000000;81.41999817;1396.00000000;71.52999878
PARNAIBA;2002-01-03;338.00000000;140.52000427;338.00000000;140.52000427
SAO FRANCISCO;2002-01-03;11615.00000000;85.05000305;11615.00000000;85.05000305
TIETE;2002-01-03;1457.00000000;80.44999695;1343.00000000;74.15000153
TOCANTINS;2002-01-03;11318.00000000;116.26000214;11318.00000000;116.26000214
URUGUAI;2002-01-03;401.00000000;56.47000122;401.00000000;56.47000122
AMAZONAS;2002-01-04;19.00000000;84.30999756;19.00000000;84.30999756
ARAGUARI;2002-01-04;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2002-01-04;102.00000000;62.16999817;102.00000000;62.16999817
DOCE;2002-01-04;1515.00000000;151.08000183;592.00000000;59.02999878
GRANDE;2002-01-04;8148.00000000;91.11000061;8148.00000000;91.11000061
IGUACU;2002-01-04;2054.00000000;56.91999817;2054.00000000;56.91999817
ITABAPOANA;2002-01-04;122.00000000;115.87000275;42.00000000;39.88999939
ITAJAI;2002-01-04;0E-8;0E-8;0E-8;0E-8
JACUI;2002-01-04;185.00000000;49.24000168;185.00000000;49.24000168
JEQUITINHONHA;2002-01-04;0E-8;0E-8;0E-8;0E-8
MUCURI;2002-01-04;0E-8;0E-8;0E-8;0E-8
OUTRAS- SUDESTE;2002-01-04;0E-8;0E-8;0E-8;0E-8
PARAGUACU;2002-01-04;0E-8;0E-8;0E-8;0E-8
PARAGUAI;2002-01-04;184.00000000;118.12000275;184.00000000;118.12000275
PARAIBA DO SUL;2002-01-04;1133.00000000;94.86000061;1133.00000000;94.86000061
PARANA;2002-01-04;27842.00000000;123.58000183;24069.00000000;106.83000183
PARANAIBA;2002-01-04;8411.00000000;112.29000092;8044.00000000;107.38999939
PARANAPANEMA;2002-01-04;1408.00000000;72.15000153;1300.00000000;66.62000275
PARNAIBA;2002-01-04;390.00000000;162.13999939;390.00000000;162.13999939
SAO FRANCISCO;2002-01-04;13438.00000000;98.40000153;13438.00000000;98.40000153
TIETE;2002-01-04;1295.00000000;71.50000000;1257.00000000;69.40000153
TOCANTINS;2002-01-04;11722.00000000;120.41000366;11722.00000000;120.41000366
URUGUAI;2002-01-04;372.00000000;52.38000107;372.00000000;52.38000107
AMAZONAS;2002-01-05;21.00000000;93.19000244;21.00000000;93.19000244
ARAGUARI;2002-01-05;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2002-01-05;91.00000000;55.47000122;91.00000000;55.47000122
DOCE;2002-01-05;1398.00000000;139.41000366;554.00000000;55.25000000
GRANDE;2002-01-05;7690.00000000;85.98999786;7690.00000000;85.98999786
IGUACU;2002-01-05;2120.00000000;58.75000000;2120.00000000;58.75000000
ITABAPOANA;2002-01-05;98.00000000;93.06999969;54.00000000;51.29000092
ITAJAI;2002-01-05;0E-8;0E-8;0E-8;0E-8
JACUI;2002-01-05;179.00000000;47.63999939;179.00000000;47.63999939
JEQUITINHONHA;2002-01-05;0E-8;0E-8;0E-8;0E-8
MUCURI;2002-01-05;0E-8;0E-8;0E-8;0E-8
OUTRAS- SUDESTE;2002-01-05;0E-8;0E-8;0E-8;0E-8
PARAGUACU;2002-01-05;0E-8;0E-8;0E-8;0E-8
PARAGUAI;2002-01-05;143.00000000;91.80000305;138.00000000;88.58999634
PARAIBA DO SUL;2002-01-05;1061.00000000;88.83000183;1061.00000000;88.83000183
PARANA;2002-01-05;28056.00000000;124.52999878;24363.00000000;108.13999939
PARANAIBA;2002-01-05;7514.00000000;100.30999756;7148.00000000;95.43000031
PARANAPANEMA;2002-01-05;1279.00000000;65.54000092;1163.00000000;59.59999847
PARNAIBA;2002-01-05;471.00000000;195.80999756;471.00000000;195.80999756
SAO FRANCISCO;2002-01-05;12897.00000000;94.44000244;12897.00000000;94.44000244
TIETE;2002-01-05;1194.00000000;65.93000031;1184.00000000;65.37000275
TOCANTINS;2002-01-05;12074.00000000;124.01999664;12074.00000000;124.01999664
URUGUAI;2002-01-05;360.00000000;50.68999863;360.00000000;50.68999863
AMAZONAS;2002-01-06;21.00000000;93.19000244;21.00000000;93.19000244
ARAGUARI;2002-01-06;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2002-01-06;80.00000000;48.75999832;80.00000000;48.75999832
DOCE;2002-01-06;1320.00000000;131.63000488;516.00000000;51.45999908
GRANDE;2002-01-06;7207.00000000;80.58999634;7207.00000000;80.58999634
IGUACU;2002-01-06;2077.00000000;57.56000137;2077.00000000;57.56000137
ITABAPOANA;2002-01-06;84.00000000;79.77999878;63.00000000;59.83000183
ITAJAI;2002-01-06;0E-8;0E-8;0E-8;0E-8
JACUI;2002-01-06;180.00000000;47.90999985;180.00000000;47.90999985
JEQUITINHONHA;2002-01-06;0E-8;0E-8;0E-8;0E-8
MUCURI;2002-01-06;0E-8;0E-8;0E-8;0E-8
OUTRAS- SUDESTE;2002-01-06;0E-8;0E-8;0E-8;0E-8
PARAGUACU;2002-01-06;0E-8;0E-8;0E-8;0E-8
PARAGUAI;2002-01-06;152.00000000;97.58000183;152.00000000;97.58000183
PARAIBA DO SUL;2002-01-06;1016.00000000;85.05999756;1016.00000000;85.05999756
PARANA;2002-01-06;28236.00000000;125.33000183;24089.00000000;106.91999817
PARANAIBA;2002-01-06;6662.00000000;88.94000244;6296.00000000;84.05000305
PARANAPANEMA;2002-01-06;1223.00000000;62.66999817;1129.00000000;57.84999847
PARNAIBA;2002-01-06;499.00000000;207.44999695;499.00000000;207.44999695
SAO FRANCISCO;2002-01-06;16951.00000000;124.12000275;16951.00000000;124.12000275
TIETE;2002-01-06;1101.00000000;60.79000092;1101.00000000;60.79000092
TOCANTINS;2002-01-06;12488.00000000;128.27999878;12488.00000000;128.27999878
URUGUAI;2002-01-06;348.00000000;49.00000000;348.00000000;49.00000000
AMAZONAS;2002-01-07;23.00000000;102.05999756;23.00000000;102.05999756
ARAGUARI;2002-01-07;0E-8;0E-8;0E-8;0E-8
CAPIVARI;2002-01-07;79.00000000;48.15000153;79.00000000;48.15000153
DOCE;2002-01-07;1008.00000000;100.51999664;421.00000000;41.97999954
GRANDE;2002-01-07;6730.00000000;75.26000214;6730.00000000;75.26000214
IGUACU;2002-01-07;1995.00000000;55.29000092;1995.00000000;55.29000092
ITABAPOANA;2002-01-07;73.00000000;69.33000183;62.00000000;58.88000107
ITAJAI;2002-01-07;0E-8;0E-8;0E-8;0E-8
JACUI;2002-01-07;179.00000000;47.63999939;179.00000000;47.63999939
JEQUITINHONHA;2002-01-07;0E-8;0E-8;0E-8;0E-8
MUCURI;2002-01-07;0E-8;0E-8;0E-8;0E-8
OUTRAS- SUDESTE;2002-01-07;0E-8;0E-8;0E-8;0E-8
PARAGUACU;2002-01-07;0E-8;0E-8;0E-8;0E-8
PARAGUAI;2002-01-07;132.00000000;84.73999786;132.00000000;84.73999786
PARAIBA DO SUL;2002-01-07;986.00000000;82.55000305;986.00000000;82.55000305
