data,vazao,ena_bruta,mes_sin,mes_cos,vazao_lag1,geracao_lag1,geracao,vazao_norm,ena_bruta_norm,vazao_lag1_norm,geracao_lag1_norm,geracao_norm
2015-01-02,3546.0,18565.0,0.49999999999999994,0.8660254037844387,3871.300048828125,8682.234625,8706.387875,0.07477605428040292,0.32954784990630237,0.09259846856841403,0.4333001207031032,0.4359003166792871
2015-01-03,3270.699951171875,17919.0,0.49999999999999994,0.8660254037844387,3546.0,8706.387875,7748.238791666667,0.05969302081207125,0.31425758340342413,0.07477605428040292,0.4359003166792871,0.3327516558958532
2015-01-04,3094.300048828125,17070.0,0.49999999999999994,0.8660254037844387,3270.699951171875,7748.238791666667,7809.108583333334,0.0500284906305953,0.29416248083230395,0.05969302081207125,0.3327516558958532,0.3393045374899579
2015-01-05,3722.39990234375,15957.0,0.49999999999999994,0.8660254037844387,3094.300048828125,7809.108583333334,8836.25575,0.08444058446187887,0.26781872445814997,0.0500284906305953,0.3393045374899579,0.4498811236518697
2015-01-06,4574.7998046875,15149.0,0.49999999999999994,0.8660254037844387,3722.39990234375,8836.25575,9819.790958333331,0.13114154332542105,0.24869405675795556,0.08444058446187887,0.4498811236518697,0.5557627044388597
2015-01-07,4766.7001953125,14761.0,0.49999999999999994,0.8660254037844387,4574.7998046875,9819.790958333331,10430.767,0.14165530831276346,0.2395104291989513,0.13114154332542105,0.5557627044388597,0.6215367698373605
2015-01-08,4980.0,14727.0,0.49999999999999994,0.8660254037844387,4766.7001953125,10430.767,10746.199625,0.15334149618880968,0.23870567833037876,0.14165530831276346,0.6215367698373605,0.6554943797773095
2015-01-09,4893.0,14609.0,0.49999999999999994,0.8660254037844387,4980.0,10746.199625,10297.301166666666,0.14857497356256744,0.23591271943356817,0.15334149618880968,0.6554943797773095,0.6071686279603318
2015-01-10,4539.2001953125,14206.0,0.49999999999999994,0.8660254037844387,4893.0,10297.301166666666,9874.512291666668,0.12919112558322193,0.22637405472666428,0.14857497356256744,0.6071686279603318,0.5616536793902535
2015-01-11,4090.60009765625,13653.0,0.49999999999999994,0.8660254037844387,4539.2001953125,9874.512291666668,9660.7595,0.1046133955187047,0.21328501854076387,0.12919112558322193,0.5616536793902535,0.5386423186504063
2015-01-12,4355.89990234375,13118.0,0.49999999999999994,0.8660254037844387,4090.60009765625,9660.7595,11096.919958333334,0.11914853944721757,0.20062202693234304,0.1046133955187047,0.5386423186504063,0.6932508555931586
2015-01-13,5320.0,12651.0,0.49999999999999994,0.8660254037844387,4355.89990234375,11096.919958333334,11247.58825,0.17196928576263,0.18956853706106727,0.11914853944721757,0.6932508555931586,0.7094709123445335
